Names,Games,Minutes,Points,OffRebounds,Rebounds,Assists,Steals,Blocks,Fgm,Fga,Fta,Fg%,3pm,3pa,3p%,Ftm,Ft%
Harrison Barnes,37,1087,578,75,216,53,27,16,209,497,124,.421,67,195,.344,93,.750
Matt Barnes,30,394,118,,86,23,10,5,43,99,46,.434,10,34,.294,22,.478
Earl Barron,30,508,168,,117,23,14,31,64,149,73,.430,0,4,.000,40,.548
Will Barton,35,1070,431,49,173,99,54,17,167,390,83,.428,39,147,.265,58,.699
Brandon Bass,29,1013,370,71,214,17,21,56,121,240,157,.504,5,19,.263,123,.783
Shane Battier,36,886,275,89,230,40,51,53,96,178,108,.539,4,24,.167,79,.731
Nicolas Batum,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Jerryd Bayless,30,1072,592,13,82,121,29,3,173,378,223,.458,59,145,.407,187,.839
Aron Baynes,28,462,145,42,116,3,5,13,60,140,39,.429,0,1,.000,25,.641
Kent Bazemore,35,571,158,33,107,53,33,8,61,141,63,.433,9,34,.265,27,.429
Bradley Beal,37,1267,546,50,249,83,51,31,175,393,173,.445,63,186,.339,133,.769
Michael Beasley,33,1041,866,131,408,38,42,54,307,577,279,.532,36,95,.379,216,.774
Rodrigue Beaubois,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Marco Belinelli,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Patrick Beverley,35,1203,485,39,156,110,61,14,150,351,138,.427,73,189,.386,112,.812
Andris Biedriņš,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Chauncey Billups,26,922,465,54,165,143,42,4,145,351,151,.413,45,127,.354,130,.861
Bismack Biyombo,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
DeJuan Blair,37,963,429,144,337,35,62,41,168,313,149,.537,0,0,,93,.624
Steve Blake,35,1115,244,,106,217,71,10,86,211,51,.408,37,102,.363,35,.686
Andray Blatche,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Eric Bledsoe,37,1122,419,19,114,107,52,12,144,312,123,.462,49,128,.383,82,.667
Keith Bogans,33,917,411,,119,57,47,1,138,339,135,.407,48,164,.293,87,.644
Andrew Bogut,33,1002,411,106,326,73,14,44,168,291,111,.577,4,11,.364,71,.640
Matt Bonner,36,485,174,,115,15,11,9,66,150,30,.440,16,56,.286,26,.867
Trevor Booker,36,934,374,112,232,38,32,78,159,264,91,.602,0,0,,56,.615
Carlos Boozer,34,807,443,,213,37,37,23,164,267,155,.614,0,0,,115,.742
Chris Bosh*,31,960,485,95,278,38,30,67,168,300,174,.560,22,46,.478,127,.730
Avery Bradley,34,1003,396,33,98,71,44,18,159,368,66,.432,42,112,.375,36,.545
Elton Brand,21,494,281,76,154,10,32,27,100,169,134,.592,0,0,,81,.604
Corey Brewer,32,791,241,49,110,63,46,13,87,169,86,.515,17,39,.436,50,.581
Ronnie Brewer,28,907,341,59,153,94,57,20,125,260,129,.481,17,64,.266,74,.574
Aaron Brooks,21,541,146,11,50,56,17,1,46,124,33,.371,28,76,.368,26,.788
MarShon Brooks,18,167,62,8,17,7,6,3,21,55,21,.382,5,19,.263,15,.714
Kwame Brown,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Shannon Brown,30,687,237,24,75,38,33,1,88,195,57,.451,15,44,.341,46,.807
Kobe Bryant*,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Chase Budinger,31,1024,484,56,179,62,37,13,176,363,97,.485,50,136,.368,82,.845
Alec Burks,30,907,512,58,150,53,35,12,172,320,193,.538,19,54,.352,149,.772
Caron Butler,29,950,445,100,221,89,63,9,151,347,171,.435,14,46,.304,129,.754
Jimmy Butler,35,687,196,75,138,26,17,16,55,107,112,.514,0,4,.000,86,.768
Will Bynum,31,584,197,8,48,44,21,1,73,212,40,.344,25,98,.255,26,.650
José Calderón,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Marcus Camby,29,634,296,,185,36,18,105,117,237,104,.494,0,4,.000,62,.596
DeMarre Carroll,34,531,135,53,129,25,20,2,56,112,42,.500,5,18,.278,18,.429
Matt Carroll,37,968,364,,98,78,26,10,125,310,65,.403,64,183,.350,50,.769
Vince Carter,31,555,232,,119,40,20,18,91,185,45,.492,19,55,.345,31,.689
Omri Casspi,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Mario Chalmers,33,859,379,8,74,127,89,5,121,272,113,.445,48,128,.375,89,.788
Tyson Chandler,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Wilson Chandler,25,756,264,48,181,24,19,39,105,241,69,.436,8,38,.211,46,.667
Josh Childress,30,645,235,44,144,24,18,12,94,234,36,.402,22,80,.275,25,.694
Earl Clark,32,513,189,44,121,12,21,14,71,148,62,.480,10,27,.370,37,.597
Victor Claver,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Norris Cole,34,489,167,11,48,28,22,0,54,142,60,.380,10,42,.238,49,.817
Jason Collins,1,15,7,3,6,0,0,0,1,4,7,.250,0,0,,5,.714
Darren Collison,39,749,215,16,71,88,35,2,78,194,51,.402,19,58,.328,40,.784
Nick Collison,34,774,357,,234,38,36,32,145,292,92,.497,5,13,.385,62,.674
Mike Conley,39,1231,441,27,134,238,87,10,160,309,144,.518,21,69,.304,100,.694
Will Conroy,29,362,72,15,45,46,23,1,23,67,33,.343,5,15,.333,21,.636
Daequan Cook,39,770,382,28,167,40,28,10,141,317,66,.445,54,130,.415,46,.697
Chris Copeland,26,199,66,15,42,8,2,7,23,61,26,.377,5,20,.250,15,.577
DeMarcus Cousins,38,893,575,154,374,38,37,67,206,369,268,.558,1,6,.167,162,.604
Jamal Crawford,17,577,283,,47,76,19,16,105,255,51,.412,33,101,.327,40,.784
Jordan Crawford,30,758,291,34,101,69,28,6,107,243,63,.440,30,82,.366,47,.746
Jae Crowder,37,1021,435,83,251,58,48,32,158,326,125,.485,42,117,.359,77,.616
Dante Cunningham,33,629,71,59,132,25,27,19,29,62,33,.468,0,0,,13,.394
Jared Cunningham,32,611,199,25,64,29,43,3,65,127,83,.512,7,21,.333,62,.747
Eddy Curry,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Stephen Curry,34,1049,730,32,157,95,62,6,242,523,145,.463,122,299,.408,124,.855
Samuel Dalembert,30,643,179,,179,10,8,107,75,149,56,.503,0,0,,29,.518
Marquis Daniels,17,216,77,,45,8,5,2,32,72,20,.444,3,15,.200,10,.500
Anthony Davis,40,1281,567,119,415,50,54,186,210,337,203,.623,3,20,.150,144,.709
Ed Davis,38,716,253,83,250,22,14,65,99,191,96,.518,0,0,,55,.573
Glen Davis,30,876,406,103,263,31,29,41,138,269,182,.513,3,12,.250,127,.698
Austin Daye,33,611,347,23,154,32,21,54,116,244,101,.475,26,63,.413,89,.881
Nando De Colo,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Carlos Delfino,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Luol Deng,37,1149,558,82,255,68,49,39,210,441,138,.476,40,111,.360,98,.710
Justin Dentmon,33,913,274,40,117,124,52,5,79,193,118,.409,20,70,.286,96,.814
DeMar DeRozan,35,1168,485,84,201,51,31,13,192,367,147,.523,6,36,.167,95,.646
Boris Diaw,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
DeSagana Diop,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Keyon Dooling,28,676,243,,58,85,32,12,78,170,110,.459,8,28,.286,79,.718
Toney Douglas,31,1103,525,26,165,57,43,3,179,422,133,.424,62,166,.373,105,.789
Chris Douglas-Roberts,34,768,283,44,113,51,26,15,102,192,94,.531,9,29,.310,70,.745
Goran Dragić,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Andre Drummond,34,967,340,114,257,15,28,92,157,292,88,.538,0,2,.000,26,.295
Jared Dudley,34,1156,405,101,225,95,44,8,131,282,173,.465,18,57,.316,125,.723
Chris Duhon,39,1085,280,38,124,174,77,1,92,217,80,.424,44,122,.361,52,.650
Tim Duncan*,33,997,323,,317,30,12,124,120,220,110,.545,1,1,1.000,82,.745
Mike Dunleavy,30,724,273,,128,50,33,14,97,211,61,.460,34,97,.351,45,.738
Kevin Durant,35,1255,903,106,390,46,66,67,306,647,256,.473,82,203,.404,209,.816
Devin Ebanks,35,1056,367,93,273,93,29,25,132,281,140,.470,5,40,.125,98,.700
Wayne Ellington,38,909,445,28,109,79,29,1,164,379,61,.433,66,178,.371,51,.836
Monta Ellis,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Kim English,38,547,247,19,62,42,19,4,82,212,58,.387,41,110,.373,42,.724
Jeremy Evans,32,672,224,79,182,16,19,44,87,135,73,.644,1,1,1.000,49,.671
Reggie Evans,35,1220,529,142,416,55,31,21,155,326,346,.475,1,1,1.000,218,.630
Tyreke Evans,37,1072,632,47,198,143,77,29,230,505,194,.455,34,124,.274,138,.711
Festus Ezeli,29,360,110,28,74,1,4,22,41,75,55,.547,0,0,,28,.509
Kenneth Faried,30,605,315,101,241,9,37,24,132,256,88,.516,0,3,.000,51,.580
Derrick Favors,36,989,448,108,303,37,32,74,179,293,143,.611,0,1,.000,90,.629
Raymond Felton,35,1240,450,29,143,236,56,9,151,379,114,.398,69,193,.358,79,.693
Landry Fields,30,420,125,24,74,22,7,4,45,124,23,.363,20,66,.303,15,.652
Derek Fisher,27,749,194,,89,92,39,3,57,138,92,.413,9,31,.290,71,.772
Evan Fournier,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Randy Foye,31,830,318,29,110,90,30,7,110,304,83,.362,29,96,.302,69,.831
Jimmer Fredette,35,647,244,8,37,61,27,3,83,204,41,.407,43,128,.336,35,.854
Enes Freedom,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Joel Freeland,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Danilo Gallinari,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Francisco García,32,696,358,36,94,67,28,40,126,258,55,.488,57,134,.425,49,.891
Kevin Garnett*,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Diante Garrett,32,711,201,8,58,91,28,2,67,191,83,.351,9,41,.220,58,.699
Marc Gasol,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Pau Gasol,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Rudy Gay,31,893,367,55,168,48,25,59,132,286,106,.462,28,60,.467,75,.708
Alonzo Gee,31,718,267,46,105,39,29,6,103,213,72,.484,24,81,.296,37,.514
Mickaël Gelabale,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Paul George,34,1176,487,63,212,63,59,34,166,353,132,.470,63,141,.447,92,.697
Daniel Gibson,31,1018,439,14,112,121,55,8,131,314,137,.417,74,186,.398,103,.752
Taj Gibson,37,1198,452,101,321,55,20,69,174,312,167,.558,0,0,,104,.623
Manu Ginóbili*,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Drew Gooden,33,686,351,,248,36,24,25,143,317,91,.451,5,16,.313,60,.659
Ben Gordon,34,844,427,20,93,105,34,6,140,315,117,.444,62,150,.413,85,.726
Eric Gordon,32,1110,669,23,104,78,42,20,184,425,277,.433,70,208,.337,231,.834
Marcin Gortat,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Andrew Goudelock,33,956,434,20,83,69,33,6,167,358,31,.466,73,173,.422,27,.871
Danny Granger,29,712,323,79,207,21,37,70,111,249,124,.446,3,17,.176,98,.790
Aaron Gray,15,88,26,10,22,6,0,3,11,20,7,.550,0,0,,4,.571
Danny Green,31,475,231,36,116,33,21,32,81,187,53,.433,27,76,.355,42,.792
Draymond Green,37,422,122,39,122,31,21,9,45,81,52,.556,0,1,.000,32,.615
Gerald Green,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Jeff Green,32,1083,418,87,212,93,31,52,146,291,146,.502,24,60,.400,102,.699
Willie Green,32,800,269,,83,60,22,10,91,218,75,.417,26,68,.382,61,.813
Blake Griffin,33,937,484,108,301,61,33,28,184,324,197,.568,0,2,.000,116,.589
Hamed Haddadi,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Jordan Hamilton,34,676,341,34,126,50,27,12,123,300,64,.410,58,159,.365,37,.578
Richard Hamilton,32,980,509,,138,88,40,11,174,451,116,.386,70,186,.376,91,.784
Ben Hansbrough,35,827,255,15,98,112,35,0,75,175,74,.429,47,114,.412,58,.784
Tyler Hansbrough,31,943,587,111,243,40,38,23,199,349,253,.570,2,4,.500,187,.739
James Harden,34,1158,605,44,179,110,73,19,196,372,224,.527,44,108,.407,169,.754
Maurice Harkless,32,1155,497,88,276,47,51,45,193,427,139,.452,17,79,.215,94,.676
Josh Harrellson,34,315,123,32,85,9,9,20,46,103,36,.447,5,15,.333,26,.722
Al Harrington,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Devin Harris,32,1094,394,19,105,56,43,18,117,283,130,.413,59,161,.366,101,.777
Terrel Harris,32,429,143,25,64,27,17,4,50,107,37,.467,15,34,.441,28,.757
Tobias Harris,34,993,521,67,247,44,24,29,185,402,170,.460,23,76,.303,128,.753
Udonis Haslem,31,660,327,,154,24,22,21,117,194,157,.603,0,2,.000,93,.592
Spencer Hawes,31,896,461,61,197,60,16,54,193,363,98,.532,1,3,.333,74,.755
Chuck Hayes,32,534,188,68,143,34,25,12,67,145,65,.462,6,22,.273,48,.738
Gordon Hayward,32,1045,420,46,207,63,48,30,125,261,124,.479,69,154,.448,101,.815
Lazar Hayward,34,553,224,61,124,10,20,3,83,194,72,.428,10,48,.208,48,.667
Brendan Haywood,38,308,110,,91,6,12,33,35,66,63,.530,0,0,,40,.635
Gerald Henderson,32,618,219,29,92,35,16,10,87,193,59,.451,8,25,.320,37,.627
Xavier Henry,36,990,483,43,157,53,54,18,162,354,115,.458,69,165,.418,90,.783
John Henson,37,586,212,60,164,34,27,58,88,181,73,.486,4,18,.222,32,.438
Roy Hibbert,32,507,163,46,111,30,11,40,60,128,65,.469,0,0,,43,.662
J.J. Hickson,31,890,458,80,262,31,22,47,163,276,195,.591,0,1,.000,132,.677
