Names,Games,Minutes,Points,OffRebounds,Rebounds,Assists,Steals,Blocks,Fgm,Fga,Fta,Fg%,3pm,3pa,3p%,Ftm,Ft%
Ansu Sesay,27,586,195,,103,32,12,17,63,178,76,.354,17,72,.236,52,.684
Brian Shaw,14,129,40,,12,23,4,2,13,36,19,.361,,,,14,.737
Paul Shirley,19,180,44,10,29,9,13,3,12,25,30,.480,0,0,,20,.667
Bobby Simmons,31,949,347,,190,82,53,3,112,300,116,.373,31,112,.277,92,.793
Brian Skinner,18,501,236,,147,9,15,69,98,164,95,.598,0,0,,40,.421
Reggie Slater,31,703,193,,211,6,19,16,66,117,102,.564,0,1,.000,61,.598
Tamar Slay,27,401,162,20,68,36,17,7,60,161,29,.373,22,73,.301,20,.690
Charles Smith,31,799,313,,113,68,28,20,121,290,51,.417,40,119,.336,31,.608
Joe Smith,30,988,582,,321,25,42,93,206,395,229,.522,2,5,.400,168,.734
Steve Smith,28,812,299,,112,82,27,2,108,232,91,.466,14,30,.467,69,.758
Eric Snow,25,144,27,,15,24,6,0,12,25,15,.480,0,2,.000,3,.200
Latrell Sprewell,33,865,295,,165,62,14,62,116,227,84,.511,5,12,.417,58,.690
Jerry Stackhouse,35,734,428,,176,69,42,17,138,296,205,.466,2,20,.100,150,.732
Vladimir Stepania,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
DeShawn Stevenson,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Michael Stewart,30,696,111,,152,9,13,59,40,85,65,.471,0,0,,31,.477
John Stockton*,25,235,78,,11,34,17,1,26,45,35,.578,,,,26,.743
Peja Stojaković,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Damon Stoudamire,30,540,217,,65,76,22,3,76,167,48,.455,28,69,.406,37,.771
Amar'e Stoudemire,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Erick Strickland,31,534,243,,63,66,47,4,84,185,59,.454,32,88,.364,43,.729
Mark Strickland,31,679,154,,161,6,19,32,68,137,49,.496,0,3,.000,18,.367
Rod Strickland,31,1063,437,,84,159,69,5,176,354,126,.497,,,,85,.675
Bruno Šundov,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Bob Sura,31,872,380,,107,76,41,5,124,269,150,.461,39,98,.398,94,.627
Stromile Swift,16,319,121,,69,5,15,35,45,110,50,.409,1,8,.125,30,.600
Wally Szczerbiak,22,382,176,,72,23,6,11,66,127,28,.520,22,47,.468,22,.786
Maurice Taylor,31,830,384,65,158,36,14,34,161,342,98,.471,3,7,.429,59,.602
Jason Terry,31,303,95,,23,35,19,0,32,59,27,.542,15,26,.577,16,.593
Etan Thomas,25,408,143,,105,3,9,48,55,103,71,.534,0,0,,33,.465
Kenny Thomas,33,981,484,,256,53,21,50,170,294,203,.578,0,3,.000,144,.709
Kurt Thomas,12,42,23,,13,2,1,2,8,18,14,.444,0,2,.000,7,.500
Tim Thomas,32,1005,542,,193,66,56,33,187,416,152,.450,47,140,.336,121,.796
Jamaal Tinsley,37,1212,407,,189,244,98,37,145,384,151,.378,15,62,.242,102,.675
Óscar Torres,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Robert Traylor,22,438,198,,130,12,19,15,82,148,62,.554,0,0,,34,.548
Gary Trent,27,892,514,,250,42,12,26,194,298,181,.651,0,1,.000,126,.696
Jeff Trepagnier,28,459,149,,98,21,28,14,52,129,63,.403,5,25,.200,40,.635
Cezary Trybański,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Jake Tsakalidis,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Nikoloz Tskitishvili,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Hedo Türkoğlu,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Nick Van Exel,31,,559,,101,166,,,200,415,128,.482,71,186,.382,88,.688
Keith Van Horn,25,740,457,,208,21,19,41,161,312,129,.516,35,79,.443,100,.775
Jacque Vaughn,35,896,273,,89,181,38,1,91,195,94,.467,28,70,.400,63,.670
Jake Voskuhl,33,678,132,,181,20,23,46,48,99,57,.485,0,0,,36,.632
Dajuan Wagner,36,1146,762,18,89,128,43,20,265,647,230,.410,66,208,.317,166,.722
Antoine Walker,33,479,259,,148,47,28,8,95,227,73,.419,17,55,.309,52,.712
Samaki Walker,29,841,396,,210,37,17,78,153,279,164,.548,2,6,.333,88,.537
Ben Wallace*,31,,445,,295,27,36,111,180,330,209,.545,,,,85,.407
Gerald Wallace,36,824,351,84,216,55,42,37,126,288,155,.438,11,63,.175,88,.568
Rasheed Wallace,35,732,333,,232,18,24,63,139,230,91,.604,0,1,.000,55,.604
Charlie Ward,30,715,239,,89,103,71,8,81,178,87,.455,15,48,.313,62,.713
Earl Watson,33,1057,191,,122,104,64,12,65,166,66,.392,21,65,.323,40,.606
Clarence Weatherspoon,27,915,397,,289,30,31,44,152,279,156,.545,1,3,.333,92,.590
Chris Webber*,34,1088,528,,340,76,54,84,229,412,113,.556,14,54,.259,56,.496
Bonzi Wells,30,887,474,,183,84,84,18,177,380,141,.466,33,99,.333,87,.617
Jiří Welsch,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
David Wesley,16,394,208,,39,37,30,2,61,134,73,.455,25,56,.446,61,.836
Jahidi White,26,201,61,,46,2,8,23,24,56,35,.429,0,0,,13,.371
Rodney White,28,865,523,50,182,41,34,20,188,386,160,.487,33,95,.347,114,.713
Chris Whitney,28,982,374,16,92,161,41,0,119,290,73,.410,80,191,.419,56,.767
Chris Wilcox,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Mike Wilks,28,616,135,,73,72,30,2,46,129,58,.357,7,23,.304,36,.621
Aaron Williams,28,278,62,,76,6,6,28,27,47,20,.574,0,0,,8,.400
Alvin Williams,31,721,245,,87,88,41,3,79,203,96,.389,20,51,.392,67,.698
Brandon Williams,28,,187,,99,19,20,13,68,160,62,.425,13,36,.361,38,.613
Eric Williams,30,781,470,,151,37,36,53,166,327,209,.508,0,5,.000,138,.660
Frank Williams,32,972,366,,110,131,74,9,125,327,92,.382,42,133,.316,74,.804
Jason Williams,28,816,375,,99,178,50,9,144,276,70,.522,35,92,.380,52,.743
Jay Williams,34,1157,492,,143,220,81,6,179,427,89,.419,73,206,.354,61,.685
Jerome Williams,31,939,337,,310,45,38,11,126,252,132,.500,2,11,.182,83,.629
Monty Williams,29,588,222,,108,31,15,16,83,172,73,.483,2,10,.200,54,.740
Scott Williams,36,540,199,,150,31,29,27,78,157,77,.497,0,1,.000,43,.558
Shammond Williams,29,132,48,,12,20,7,0,12,31,21,.387,6,20,.300,18,.857
Walt Williams,26,617,190,,92,66,33,13,75,170,53,.441,7,27,.259,33,.623
Corliss Williamson,18,454,263,,92,30,7,22,101,176,98,.574,0,0,,61,.622
Kevin Willis,27,518,163,,113,2,10,12,73,154,30,.474,,,,17,.567
Rubén Wolkowyski,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Loren Woods,30,525,205,,157,16,7,45,71,147,93,.483,0,0,,63,.677
Qyntel Woods,23,722,742,,229,42,,,239,495,285,.483,34,113,.301,230,.807
Metta World Peace,32,870,372,,201,62,52,36,139,335,114,.415,34,104,.327,60,.526
Lorenzen Wright,34,1170,503,,345,50,26,71,198,353,171,.561,0,1,.000,107,.626
Vincent Yarbrough,30,705,229,,156,42,43,29,83,199,57,.417,23,84,.274,40,.702
Wang Zhizhi,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Quincy Acy,34,558,185,49,124,9,21,34,72,110,72,.655,0,0,,41,.569
Jeff Adrien,33,543,216,68,165,15,14,25,83,136,78,.610,0,0,,50,.641
Arron Afflalo,29,907,314,17,97,63,18,7,106,240,89,.442,39,101,.386,63,.708
Josh Akognon,27,311,106,6,37,14,9,2,38,130,6,.292,28,91,.308,2,.333
Cole Aldrich,40,330,112,34,119,5,11,34,43,83,38,.518,0,0,,26,.684
LaMarcus Aldridge,16,355,158,43,95,14,17,24,57,86,67,.663,0,0,,44,.657
Lavoy Allen,34,993,276,69,193,55,17,52,116,208,57,.558,2,5,.400,42,.737
Ray Allen*,34,735,429,,155,47,38,7,158,310,101,.510,33,82,.402,80,.792
Tony Allen,32,967,527,,194,105,,,207,406,166,.510,12,32,.375,101,.608
Al-Farouq Aminu,31,899,401,71,253,46,30,38,146,283,152,.516,7,39,.179,102,.671
Lou Amundson,30,315,83,32,69,9,15,10,29,58,42,.500,0,0,,25,.595
Chris Andersen,29,628,292,,224,20,,,108,214,133,.505,6,25,.240,70,.526
Alan Anderson,31,759,203,32,130,51,18,3,67,149,87,.450,2,5,.400,67,.770
James Anderson,33,1021,438,56,123,35,26,16,148,340,105,.435,67,177,.379,75,.714
Ryan Anderson,33,1096,539,79,269,16,22,18,189,397,129,.476,58,152,.382,103,.798
Carmelo Anthony,35,1274,778,101,349,77,55,30,277,612,238,.453,56,166,.337,168,.706
Joel Anthony,31,423,58,37,85,6,7,48,22,44,29,.500,0,0,,14,.483
Trevor Ariza,25,789,289,61,162,52,42,11,107,251,113,.426,18,76,.237,57,.504
Darrell Arthur,38,721,374,78,177,17,33,56,155,288,99,.538,0,5,.000,64,.646
Ömer Aşık,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
D.J. Augustin,35,1245,503,21,99,233,53,3,154,343,179,.449,45,102,.441,150,.838
Gustavo Ayón,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Jeff Ayres,27,688,295,57,165,15,12,23,115,233,89,.494,0,2,.000,65,.730
Luke Babbitt,34,1110,573,63,251,47,24,24,194,425,176,.456,33,77,.429,152,.864
Leandro Barbosa,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
J.J. Barea,28,901,477,21,85,109,44,1,158,388,144,.407,48,152,.316,113,.785
Andrea Bargnani,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
