Names,Games,Minutes,Points,OffRebounds,Rebounds,Assists,Steals,Blocks,Fgm,Fga,Fta,Fg%,3pm,3pa,3p%,Ftm,Ft%
Malik Beasley,34,1014,529,44,180,51,32,6,185,393,128,.471,55,142,.387,104,.813
MarJon Beauchamp,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Dāvis Bertāns,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Patrick Beverley,35,1203,485,39,156,110,61,14,150,351,138,.427,73,189,.386,112,.812
Saddiq Bey,36,1064,296,74,183,46,31,12,109,238,45,.458,49,131,.374,29,.644
Khem Birch,10,150,44,21,50,0,2,19,16,28,22,.571,0,0,,12,.545
Goga Bitadze,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Bismack Biyombo,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Buddy Boeheim,32,546,217,18,52,33,18,3,72,189,33,.381,47,133,.353,26,.788
Bogdan Bogdanović,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Bojan Bogdanović,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Bol Bol,9,268,189,19,86,9,7,24,74,132,37,.561,13,25,.520,28,.757
Leandro Bolmaro,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Devin Booker,38,816,381,17,76,42,17,2,135,287,64,.470,58,141,.411,53,.828
Brandon Boston Jr.,25,759,287,33,112,40,33,4,103,290,65,.355,30,100,.300,51,.785
Chris Boucher,38,981,459,103,280,15,30,110,159,295,149,.539,39,115,.339,102,.685
James Bouknight,28,725,364,44,115,36,21,6,128,277,101,.462,25,72,.347,83,.822
Jamaree Bouyea,36,480,90,9,60,33,25,10,33,101,22,.327,9,39,.231,15,.682
Tony Bradley,38,553,269,98,195,23,10,22,102,178,105,.573,0,0,,65,.619
Malaki Branham,32,948,437,25,114,64,23,9,160,321,96,.498,37,89,.416,80,.833
Jarrell Brantley,31,880,364,64,227,40,40,14,134,290,116,.462,13,39,.333,83,.716
Christian Braun,31,569,163,21,90,15,21,7,56,130,26,.431,32,72,.444,19,.731
Mikal Bridges,40,813,254,36,128,35,42,26,86,165,75,.521,23,77,.299,59,.787
Oshae Brissett,37,1411,553,82,327,34,43,29,162,458,221,.354,55,166,.331,174,.787
Malcolm Brogdon,28,626,188,14,78,38,14,3,63,159,50,.396,22,68,.324,40,.800
Dillon Brooks,36,1020,413,62,176,65,18,20,150,329,103,.456,28,83,.337,85,.825
Bruce Brown,33,1053,391,48,186,106,49,18,134,292,121,.459,33,95,.347,90,.744
Greg Brown III,26,535,243,31,161,10,15,26,81,193,72,.420,30,91,.330,51,.708
Jaylen Brown,34,939,498,36,182,68,27,22,163,378,217,.431,30,102,.294,142,.654
Kendall Brown,34,918,329,59,166,63,34,12,132,226,74,.584,14,41,.341,51,.689
Moses Brown,32,748,311,108,266,9,19,62,133,219,128,.607,0,0,,45,.352
Sterling Brown,37,719,161,45,139,40,27,11,60,128,42,.469,17,47,.362,24,.571
Troy Brown Jr.,35,1093,396,53,217,111,55,7,143,322,105,.444,32,110,.291,78,.743
Jalen Brunson,40,959,383,18,70,100,28,0,126,279,106,.452,49,128,.383,82,.774
Thomas Bryant,35,791,415,70,202,34,17,32,157,230,136,.683,5,15,.333,96,.706
Reggie Bullock,27,392,166,22,76,16,18,3,62,169,23,.367,29,98,.296,13,.565
Alec Burks,30,907,512,58,150,53,35,12,172,320,193,.538,19,54,.352,149,.772
Deonte Burton,32,402,222,32,69,17,35,14,87,182,68,.478,4,8,.500,44,.647
Jared Butler,34,910,348,22,106,93,33,3,117,296,68,.395,60,171,.351,54,.794
Jimmy Butler,35,687,196,75,138,26,17,16,55,107,112,.514,0,4,.000,86,.768
John Butler,31,588,182,21,100,23,13,36,69,166,25,.416,33,84,.393,11,.440
Jamal Cain,34,584,155,30,114,22,28,12,59,122,23,.484,26,55,.473,11,.478
Kentavious Caldwell-Pope,32,1028,422,45,166,38,58,11,152,384,81,.396,65,214,.304,53,.654
Facundo Campazzo,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Vlatko Čančar,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Clint Capela,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Vernon Carey Jr.,31,772,552,83,272,30,22,49,199,345,218,.577,8,21,.381,146,.670
Jevon Carter,35,832,285,39,82,62,67,3,95,264,61,.360,48,153,.314,47,.770
Wendell Carter Jr.,37,997,501,109,335,74,30,76,179,319,168,.561,19,46,.413,124,.738
Michael Carter-Williams,26,269,70,9,38,54,20,7,25,58,23,.431,7,18,.389,13,.565
Alex Caruso,33,815,182,25,107,112,61,15,62,166,75,.373,13,49,.265,45,.600
Julian Champagnie,32,819,318,57,208,24,39,26,121,267,69,.453,24,77,.312,52,.754
Justin Champagnie,33,1085,419,73,232,22,36,28,153,363,103,.421,33,126,.262,80,.777
Kennedy Chandler,34,1048,473,23,110,161,74,8,182,392,99,.464,49,128,.383,60,.606
Max Christie,35,1078,324,30,121,51,18,17,112,293,74,.382,39,123,.317,61,.824
Josh Christopher,15,446,214,10,71,21,22,8,76,176,55,.432,18,59,.305,44,.800
Brandon Clarke,31,728,274,65,174,46,22,38,109,172,98,.634,1,6,.167,55,.561
Jordan Clarkson,27,672,310,11,56,52,20,3,97,224,121,.433,20,66,.303,96,.793
Nic Claxton,33,485,130,55,129,6,5,42,44,98,65,.449,8,22,.364,34,.523
Amir Coffey,33,1097,404,23,127,102,35,5,131,292,146,.449,32,95,.337,110,.753
John Collins,31,446,227,52,122,7,9,23,81,148,94,.547,0,0,,65,.691
Zach Collins,39,673,390,66,230,16,18,69,135,207,148,.652,10,21,.476,110,.743
Chance Comanche,23,139,43,12,36,5,1,7,16,33,16,.485,0,0,,11,.688
Mike Conley,39,1231,441,27,134,238,87,10,160,309,144,.518,21,69,.304,100,.694
Pat Connaughton,34,820,239,33,150,30,17,5,85,201,37,.423,41,120,.342,28,.757
Xavier Cooks,32,825,248,59,194,49,24,47,97,181,83,.536,3,16,.188,51,.614
Robert Covington,32,873,368,75,208,37,34,35,134,313,79,.428,37,96,.385,63,.797
Torrey Craig,30,916,431,68,216,44,29,11,155,408,78,.380,68,214,.318,53,.679
Jae Crowder,37,1021,435,83,251,58,48,32,158,326,125,.485,42,117,.359,77,.616
Jarrett Culver,37,978,415,39,177,67,41,27,145,319,108,.455,55,144,.382,70,.648
Cade Cunningham,27,956,544,19,167,94,43,21,175,400,156,.438,62,155,.400,132,.846
Seth Curry,35,1277,707,24,153,79,48,9,243,583,143,.417,102,294,.347,119,.832
Stephen Curry,34,1049,730,32,157,95,62,6,242,523,145,.463,122,299,.408,124,.855
Dyson Daniels,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Anthony Davis,40,1281,567,119,415,50,54,186,210,337,203,.623,3,20,.150,144,.709
Johnny Davis,31,753,218,34,128,35,34,18,86,195,44,.441,14,36,.389,32,.727
Terence Davis,20,132,36,6,18,6,7,2,13,30,19,.433,3,11,.273,7,.368
JD Davison,33,852,282,36,157,143,32,12,99,214,81,.463,25,83,.301,59,.728
Darius Days,35,510,184,60,140,13,26,11,66,136,35,.485,26,68,.382,26,.743
Dewayne Dedmon,20,465,152,49,109,6,14,19,65,118,41,.551,0,1,.000,22,.537
Matthew Dellavedova,34,1236,412,34,119,153,40,0,121,310,113,.390,74,186,.398,96,.850
DeMar DeRozan,35,1168,485,84,201,51,31,13,192,367,147,.523,6,36,.167,95,.646
Moussa Diabaté,32,796,289,76,191,26,11,28,117,216,84,.542,3,14,.214,52,.619
Mamadi Diakite,32,449,121,28,82,6,8,39,50,92,33,.543,3,11,.273,18,.545
Hamidou Diallo,37,918,371,33,135,46,28,13,134,313,125,.428,26,77,.338,77,.616
Gorgui Dieng,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Ousmane Dieng,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Spencer Dinwiddie,36,988,360,25,131,64,27,9,99,246,147,.402,42,96,.438,120,.816
Donte DiVincenzo,9,74,15,10,16,4,4,0,6,21,0,.286,3,17,.176,0,
Luka Dončić,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Tyler Dorsey,36,1083,484,48,155,71,29,7,153,347,156,.441,67,165,.406,111,.712
Luguentz Dort,34,1072,547,44,145,79,52,7,174,430,207,.405,54,176,.307,145,.700
Ayo Dosunmu,32,1000,442,23,128,104,41,8,163,375,95,.435,50,142,.352,66,.695
Devon Dotson,36,1168,442,22,132,127,49,5,147,305,147,.482,33,91,.363,115,.782
Jeff Dowtin,32,711,176,16,48,69,17,7,64,153,49,.418,20,57,.351,28,.571
PJ Dozier,34,647,229,27,101,70,34,13,91,239,68,.381,10,47,.213,37,.544
Goran Dragić,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Andre Drummond,34,967,340,114,257,15,28,92,157,292,88,.538,0,2,.000,26,.295
Chris Duarte,28,844,361,42,157,46,47,15,126,304,78,.414,47,140,.336,62,.795
David Duke Jr.,34,840,241,19,90,73,23,11,84,217,74,.387,22,74,.297,51,.689
Kris Dunn,25,680,142,41,120,79,29,7,49,123,58,.398,4,14,.286,40,.690
Kevin Durant,35,1255,903,106,390,46,66,67,306,647,256,.473,82,203,.404,209,.816
Jalen Duren,29,733,347,86,236,37,24,61,141,236,104,.597,0,1,.000,65,.625
Tari Eason,23,451,168,52,136,30,27,29,67,145,47,.462,7,29,.241,27,.574
Anthony Edwards,32,1057,610,24,167,91,43,18,203,505,171,.402,72,245,.294,132,.772
Kessler Edwards,34,978,333,41,185,33,39,34,120,274,62,.438,50,135,.370,43,.694
Keon Ellis,32,560,175,29,129,34,35,14,60,119,47,.504,21,54,.389,34,.723
Joel Embiid,28,647,313,65,227,38,25,72,107,171,143,.626,1,5,.200,98,.685
Drew Eubanks,32,685,242,45,146,13,14,39,101,174,63,.580,0,0,,40,.635
Bruno Fernando,30,671,308,45,196,21,11,37,118,204,96,.578,1,3,.333,71,.740
Dorian Finney-Smith,33,957,209,91,232,62,24,23,69,208,77,.332,26,71,.366,45,.584
Malachi Flynn,31,1027,302,8,91,91,21,1,104,263,49,.395,58,150,.387,36,.735
Simone Fontecchio,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Bryn Forbes,32,904,407,24,111,38,25,1,136,314,92,.433,61,157,.389,74,.804
Trent Forrest,35,538,171,31,94,55,43,5,61,129,71,.473,1,8,.125,48,.676
Michael Foster Jr.,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Evan Fournier,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
De'Aaron Fox,36,1064,601,21,143,165,53,7,214,447,212,.479,17,69,.246,156,.736
Markelle Fultz,25,892,579,33,143,148,40,30,209,439,168,.476,52,126,.413,109,.649
Wenyen Gabriel,38,672,174,61,184,26,11,34,60,148,55,.405,20,63,.317,34,.618
Daniel Gafford,35,790,413,77,217,24,19,76,164,271,161,.605,0,0,,85,.528
Darius Garland,5,139,81,2,19,13,4,2,29,54,16,.537,11,23,.478,12,.750
Usman Garuba,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Luka Garza,33,715,400,79,211,35,11,32,146,262,135,.557,16,46,.348,92,.681
Rudy Gay,31,893,367,55,168,48,25,59,132,286,106,.462,28,60,.467,75,.708
Paul George,34,1176,487,63,212,63,59,34,166,353,132,.470,63,141,.447,92,.697
Taj Gibson,37,1198,452,101,321,55,20,69,174,312,167,.558,0,0,,104,.623
Josh Giddey,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Shai Gilgeous-Alexander,37,1248,532,33,153,189,61,18,183,377,175,.485,23,57,.404,143,.817
Anthony Gill,31,784,236,60,146,35,17,10,86,190,82,.453,11,28,.393,53,.646
Jacob Gilyard,32,1166,366,15,69,130,89,1,126,279,67,.452,58,151,.384,56,.836
Rudy Gobert,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Jordan Goodwin,26,868,300,68,195,103,52,16,108,290,94,.372,19,81,.235,65,.691
Aaron Gordon,38,1187,470,102,303,75,34,39,189,382,180,.495,16,45,.356,76,.422
Eric Gordon,32,1110,669,23,104,78,42,20,184,425,277,.433,70,208,.337,231,.834
Devonte' Graham,29,517,164,8,43,61,25,0,46,117,76,.393,17,40,.425,55,.724
Jerami Grant,40,572,155,46,118,18,17,18,54,117,73,.462,6,15,.400,41,.562
RaiQuan Gray,36,441,141,23,83,27,29,6,50,115,43,.435,10,32,.313,31,.721
A.J. Green,34,1017,509,13,103,77,21,2,184,449,81,.410,71,204,.348,70,.864
Danny Green,31,475,231,36,116,33,21,32,81,187,53,.433,27,76,.355,42,.792
Draymond Green,37,422,122,39,122,31,21,9,45,81,52,.556,0,1,.000,32,.615
Jalen Green,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
JaMychal Green,32,795,328,110,242,24,30,51,126,234,107,.538,0,1,.000,76,.710
Javonte Green,32,705,326,88,214,18,44,16,126,270,110,.467,6,31,.194,68,.618
Jeff Green,32,1083,418,87,212,93,31,52,146,291,146,.502,24,60,.400,102,.699
Josh Green,30,926,359,39,137,78,46,13,122,288,109,.424,30,83,.361,85,.780
AJ Griffin,39,935,405,30,153,38,20,22,146,296,53,.493,71,159,.447,42,.792
Blake Griffin,33,937,484,108,301,61,33,28,184,324,197,.568,0,2,.000,116,.589
Quentin Grimes,36,987,301,17,89,72,23,6,106,276,58,.384,54,159,.340,35,.603
Rui Hachimura,28,130,73,12,38,2,6,4,28,53,24,.528,4,14,.286,13,.542
Tyrese Haliburton,35,1163,239,26,120,125,54,30,86,167,26,.515,49,113,.434,18,.692
Jordan Hall,20,637,211,16,117,113,25,1,70,184,50,.380,33,94,.351,38,.760
R.J. Hampton,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Tim Hardaway Jr.,35,1074,485,27,133,59,34,5,159,379,119,.420,76,207,.367,91,.765
James Harden,34,1158,605,44,179,110,73,19,196,372,224,.527,44,108,.407,169,.754
Jaden Hardy,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Ron Harper Jr.,31,690,242,16,97,35,18,16,88,213,53,.413,30,108,.278,36,.679
Montrezl Harrell,40,649,226,63,145,8,20,27,97,168,63,.577,0,0,,32,.508
Gary Harris,34,1010,439,30,86,46,45,6,150,329,98,.456,65,158,.411,74,.755
Joe Harris,31,910,323,35,135,39,27,11,107,256,58,.418,65,156,.417,44,.759
Kevon Harris,33,734,279,49,118,34,22,16,85,189,125,.450,21,63,.333,88,.704
Tobias Harris,34,993,521,67,247,44,24,29,185,402,170,.460,23,76,.303,128,.753
Shaquille Harrison,33,889,226,25,124,94,56,14,72,193,122,.373,4,27,.148,78,.639
Josh Hart,34,728,265,62,151,30,19,9,87,174,96,.500,26,83,.313,65,.677
Isaiah Hartenstein,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Udonis Haslem,31,660,327,,154,24,22,21,117,194,157,.603,0,2,.000,93,.592
Sam Hauser,32,847,281,29,159,42,25,19,97,205,29,.473,63,139,.453,24,.828
Jaxson Hayes,32,747,320,56,160,9,19,71,123,169,100,.728,0,0,,74,.740
Killian Hayes,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Gordon Hayward,32,1045,420,46,207,63,48,30,125,261,124,.479,69,154,.448,101,.815
Juancho Hernangómez,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Willy Hernangómez,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Tyler Herro,37,1207,519,15,166,91,40,12,186,403,93,.462,60,169,.355,87,.935
Buddy Hield,27,679,211,49,113,50,33,7,81,209,36,.388,19,80,.238,30,.833
Haywood Highsmith,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
George Hill,29,824,310,61,131,65,41,7,114,218,86,.523,21,51,.412,61,.709
Malcolm Hill,35,495,154,21,85,23,10,4,46,120,61,.383,15,44,.341,47,.770
Aaron Holiday,32,1013,331,19,96,127,45,8,114,289,88,.394,39,93,.419,64,.727
Jrue Holiday,35,950,296,44,132,129,55,18,112,249,62,.450,27,88,.307,45,.726
Justin Holiday,19,125,13,8,25,8,4,5,5,17,7,.294,0,4,.000,3,.429
Richaun Holmes,32,602,207,76,159,7,17,73,88,139,50,.633,0,2,.000,31,.620
Al Horford,32,730,179,72,209,28,26,51,61,127,98,.480,0,0,,57,.582
Talen Horton-Tucker,35,952,414,23,170,82,45,23,155,382,88,.406,49,159,.308,55,.625
Danuel House Jr.,33,944,409,49,163,61,31,8,127,291,174,.436,30,95,.316,125,.718
Caleb Houstan,34,1088,343,27,135,46,25,8,109,284,83,.384,60,169,.355,65,.783
Trevor Hudgins,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Kevin Huerter,33,971,307,22,163,88,32,23,111,264,28,.420,65,175,.371,20,.714
Jay Huff,12,106,41,6,23,4,1,14,17,25,8,.680,2,7,.286,5,.625
De'Andre Hunter,33,657,303,38,117,36,19,13,104,213,98,.488,21,55,.382,74,.755
Bones Hyland,31,638,279,10,68,57,26,10,100,231,24,.433,63,145,.434,16,.667
Serge Ibaka,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Andre Iguodala,32,614,206,62,156,66,47,18,69,181,88,.381,9,44,.205,59,.670
Joe Ingles,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Brandon Ingram,36,1246,624,67,244,72,41,49,214,484,170,.442,80,195,.410,116,.682
Kyrie Irving,11,303,192,6,37,47,16,6,55,104,71,.529,18,39,.462,64,.901
Jonathan Isaac,32,839,383,56,251,37,37,49,130,256,118,.508,31,89,.348,92,.780
Jaden Ivey,23,557,256,19,76,43,17,16,89,223,73,.399,25,97,.258,53,.726
Frank Jackson,36,895,394,23,90,61,20,2,133,281,102,.473,51,129,.395,77,.755
Isaiah Jackson,25,519,211,53,165,18,19,65,74,137,90,.540,0,2,.000,63,.700
Jaren Jackson Jr.,35,764,382,52,203,39,21,106,119,232,133,.513,38,96,.396,106,.797
Justin Jackson,38,1014,408,52,139,88,20,19,157,329,93,.477,28,92,.304,66,.710
Quenton Jackson,29,684,256,10,85,45,36,6,71,194,125,.366,19,78,.244,95,.760
Reggie Jackson,34,680,237,41,111,59,28,14,91,207,54,.440,18,66,.273,37,.685
LeBron James,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Ty Jerome,34,473,147,1,55,50,15,2,52,110,18,.473,29,73,.397,14,.778
Isaiah Joe,34,1024,471,21,94,58,51,5,148,358,82,.413,113,273,.414,62,.756
Alize Johnson,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Cameron Johnson,8,115,36,2,9,4,1,3,13,33,4,.394,8,23,.348,2,.500
