Names,Games,Minutes,Points,OffRebounds,Rebounds,Assists,Steals,Blocks,Fgm,Fga,Fta,Fg%,3pm,3pa,3p%,Ftm,Ft%
Luke Walton,34,868,193,,138,131,36,21,65,184,73,.353,11,55,.200,52,.712
Hakim Warrick,35,609,214,70,168,18,20,22,95,172,60,.552,1,2,.500,23,.383
C.J. Watson,29,1038,263,18,121,160,36,6,80,188,121,.426,24,66,.364,79,.653
Earl Watson,33,1057,191,,122,104,64,12,65,166,66,.392,21,65,.323,40,.606
Maalik Wayns,33,495,226,10,49,42,21,1,76,175,70,.434,17,54,.315,57,.814
Martell Webster,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
David West,33,970,386,,301,57,52,35,143,269,150,.532,0,0,,100,.667
Russell Westbrook,36,325,122,8,28,24,14,1,48,105,31,.457,9,22,.409,17,.548
D.J. White,29,814,386,56,143,23,14,64,143,250,141,.572,0,0,,100,.709
James White,30,615,182,26,86,51,27,17,71,169,40,.420,20,69,.290,20,.500
Chris Wilcox,34,294,122,26,73,16,6,18,51,88,33,.580,0,0,,20,.606
Damien Wilkins,34,1083,389,,197,77,41,21,127,311,159,.408,29,89,.326,106,.667
Deron Williams,32,868,202,15,95,145,46,5,75,176,45,.426,28,79,.354,24,.533
Derrick Williams,31,875,486,68,219,22,19,20,162,282,232,.574,4,16,.250,158,.681
Lou Williams,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Marvin Williams,36,800,407,65,236,26,39,17,125,247,163,.506,19,44,.432,138,.847
Mo Williams,35,1121,363,34,137,159,59,4,123,327,98,.376,33,126,.262,84,.857
Reggie Williams,27,948,419,29,127,67,38,5,154,357,98,.431,33,118,.280,78,.796
Terrence Williams,33,828,278,32,155,70,33,11,104,266,49,.391,40,129,.310,30,.612
Metta World Peace,32,870,372,,201,62,52,36,139,335,114,.415,34,104,.327,60,.526
Brandan Wright,37,1013,545,77,229,37,36,65,228,353,157,.646,0,0,,89,.567
Chris Wright,16,277,91,5,39,34,14,1,34,70,23,.486,11,23,.478,12,.522
Dorell Wright,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Tony Wroten,35,1062,559,80,176,130,66,13,198,447,264,.443,9,56,.161,154,.583
Nick Young,29,746,321,49,118,38,22,9,123,279,73,.441,28,89,.315,47,.644
Sam Young,33,672,261,59,144,28,22,20,98,188,88,.521,4,21,.190,61,.693
Thaddeus Young,31,917,445,72,151,63,39,12,177,370,70,.478,39,93,.419,52,.743
Luke Zeller,27,371,92,22,85,28,3,7,32,88,17,.364,20,59,.339,8,.471
Tyler Zeller,15,117,47,11,30,3,3,3,17,36,17,.472,0,0,,13,.765
Precious Achiuwa,31,943,489,93,334,30,34,58,182,369,187,.493,13,40,.325,112,.599
Steven Adams,32,749,231,90,203,20,21,65,100,175,70,.571,0,0,,31,.443
Bam Adebayo,38,1145,494,118,304,32,26,57,170,284,236,.599,0,0,,154,.653
Ochai Agbaji,22,569,188,21,101,20,10,12,70,156,36,.449,23,75,.307,25,.694
Santi Aldama,10,304,152,15,76,21,9,17,61,133,33,.459,13,60,.217,17,.515
Nickeil Alexander-Walker,33,839,352,23,127,49,28,18,124,276,63,.449,58,148,.392,46,.730
Grayson Allen,35,322,153,9,35,14,10,5,45,106,53,.425,18,52,.346,45,.849
Jarrett Allen,33,1061,442,100,278,27,19,51,179,316,149,.566,0,7,.000,84,.564
Jose Alvarado,25,874,303,15,93,77,43,2,99,221,81,.448,40,108,.370,65,.802
Kyle Anderson,35,1046,338,74,302,122,62,31,122,293,117,.416,8,38,.211,86,.735
Giannis Antetokounmpo,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Thanasis Antetokounmpo,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Cole Anthony,22,768,407,10,125,88,29,6,131,345,128,.380,49,141,.348,96,.750
OG Anunoby,34,466,165,42,90,18,27,26,66,116,42,.569,13,29,.448,20,.476
Ryan Arcidiacono,34,1156,405,8,72,119,38,0,106,309,148,.343,71,217,.327,122,.824
Deni Avdija,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Deandre Ayton,35,1172,704,118,405,57,20,66,276,451,191,.612,12,35,.343,140,.733
Udoka Azubuike,11,142,55,13,48,2,2,18,22,35,29,.629,0,0,,11,.379
Marvin Bagley III,33,1118,694,132,366,50,27,29,270,440,209,.614,23,58,.397,131,.627
Patrick Baldwin Jr.,11,314,133,10,64,17,9,9,45,131,35,.344,17,64,.266,26,.743
LaMelo Ball,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Mo Bamba,30,906,387,96,316,15,23,111,146,270,119,.541,14,51,.275,81,.681
Paolo Banchero,39,1286,671,68,304,124,41,36,245,513,188,.478,44,130,.338,137,.729
Desmond Bane,39,807,277,27,113,38,12,9,102,198,56,.515,30,79,.380,43,.768
Dalano Banton,31,469,105,16,92,65,14,16,39,97,34,.402,8,37,.216,19,.559
Dominick Barlow,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Harrison Barnes,37,1087,578,75,216,53,27,16,209,497,124,.421,67,195,.344,93,.750
Scottie Barnes,24,595,248,35,96,98,35,11,98,195,66,.503,11,40,.275,41,.621
RJ Barrett,38,1341,860,59,288,164,34,16,319,702,224,.454,73,237,.308,149,.665
Will Barton,35,1070,431,49,173,99,54,17,167,390,83,.428,39,147,.265,58,.699
Charles Bassey,34,1067,495,99,340,24,27,81,188,300,143,.627,9,20,.450,110,.769
Keita Bates-Diop,33,327,125,13,68,17,11,19,44,93,28,.473,18,39,.462,19,.679
Nicolas Batum,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Darius Bazley,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Bradley Beal,37,1267,546,50,249,83,51,31,175,393,173,.445,63,186,.339,133,.769
