Names,Games,Minutes,Points,OffRebounds,Rebounds,Assists,Steals,Blocks,Fgm,Fga,Fta,Fg%,3pm,3pa,3p%,Ftm,Ft%
Muggsy Bogues,32,312,37,,21,53,31,0,14,46,13,.304,,,,9,.692
Manute Bol,31,,697,,419,42,8,219,303,496,153,.611,,,,91,.595
Walter Bond,26,223,62,,36,25,3,2,29,55,8,.527,0,2,.000,4,.500
Anthony Bonner,35,1066,360,,337,46,32,12,138,233,127,.592,0,0,,84,.661
Anthony Bowie,37,1282,496,,215,196,57,6,202,392,119,.515,,,,92,.773
Sam Bowie,34,886,440,,276,26,12,73,165,311,144,.531,,,,110,.764
Terrell Brandon,29,1067,518,,106,174,51,4,190,401,129,.474,41,94,.436,97,.752
Randy Breuer,31,496,240,,98,17,10,17,96,172,74,.558,,,,48,.649
Frank Brickowski,25,266,95,,64,11,11,12,37,81,35,.457,,,,21,.600
Kevin Brooks,27,998,453,,170,42,18,6,179,317,109,.565,12,34,.353,83,.761
Scott Brooks,27,420,102,,32,37,14,0,46,87,14,.529,,,,10,.714
Chucky Brown,31,310,97,,67,13,8,6,38,80,34,.475,,,,21,.618
Dee Brown,21,186,71,,28,17,11,0,28,65,22,.431,2,12,.167,13,.591
Mike Brown,27,926,421,,230,27,14,13,174,350,141,.497,,,,73,.518
Randy Brown,28,578,105,,75,81,32,2,42,83,36,.506,0,2,.000,21,.583
Mark Bryant,26,774,318,,177,16,9,22,122,257,114,.475,,,,74,.649
Jud Buechler,30,474,134,,68,35,10,3,54,111,28,.486,10,25,.400,16,.571
Matt Bullard,28,869,356,,179,86,22,32,142,235,88,.604,,,,72,.818
Willie Burton,28,674,243,45,118,30,12,19,96,211,74,.455,3,11,.273,48,.649
Steve Burtt,28,800,381,,73,63,31,4,149,309,126,.482,,,,83,.659
Michael Cage,27,1031,295,,355,11,28,20,115,206,86,.558,,,,65,.756
Dexter Cambridge,32,599,389,,125,29,23,9,136,292,119,.466,26,81,.321,91,.765
Elden Campbell,31,534,273,,126,20,11,62,107,193,84,.554,0,0,,59,.702
Tony Campbell,14,55,23,,9,1,2,0,10,24,6,.417,,,,3,.500
Antoine Carr,29,818,442,,171,64,27,40,178,355,129,.501,,,,86,.667
Bill Cartwright,30,845,374,,207,18,,49,151,285,98,.530,,,,72,.735
Terry Catledge,28,911,551,,278,19,23,24,216,387,171,.558,0,0,,119,.696
Duane Causwell,33,399,67,,85,3,10,31,27,55,30,.491,0,0,,13,.433
Cedric Ceballos,29,986,615,,256,43,46,8,241,545,174,.442,16,58,.276,117,.672
Tom Chambers,28,355,178,,104,7,,,69,139,64,.496,,,,40,.625
Rex Chapman,29,962,464,,66,103,36,15,173,390,68,.444,68,176,.386,50,.735
Maurice Cheeks*,26,,101,,56,29,,,35,75,53,.467,,,,31,.585
Pete Chilcutt,34,573,168,,110,43,10,10,66,117,51,.564,0,1,.000,36,.706
Doug Christie,28,687,250,,115,112,44,34,84,167,98,.503,12,47,.255,70,.714
Derrick Coleman,38,1163,453,,333,45,45,67,173,309,156,.560,0,0,,107,.686
Bimbo Coles,28,752,280,36,85,112,34,5,101,245,109,.412,0,14,.000,78,.716
Marty Conlon,34,487,150,,100,16,11,7,43,96,77,.448,0,0,,64,.831
Lester Conner,28,790,197,,119,111,52,9,68,141,91,.482,,,,61,.670
Duane Cooper,27,180,31,,16,17,6,0,10,32,15,.313,1,9,.111,10,.667
Tyrone Corbin,28,602,142,,172,30,27,6,43,103,78,.417,,,,56,.718
Chris Corchiani,32,788,202,,44,235,61,1,61,120,72,.508,20,40,.500,60,.833
Joe Courtney,28,449,122,,73,10,6,13,49,112,29,.438,0,0,,24,.828
John Crotty,31,717,195,,70,92,18,1,59,163,87,.362,26,75,.347,51,.586
Terry Cummings,28,861,397,,263,40,24,34,154,303,107,.508,,,,89,.832
Radisav Ćurčić,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Dell Curry,32,1024,464,,95,107,58,20,198,417,80,.475,,,,68,.850
Lloyd Daniels,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Brad Daugherty,35,815,287,,181,33,10,36,110,197,101,.558,0,1,.000,67,.663
Dale Davis,29,714,227,,223,10,16,38,91,171,89,.532,0,0,,45,.506
Hubert Davis,35,248,116,,27,9,3,1,44,86,31,.512,4,13,.308,24,.774
Terry Davis,27,,110,,116,9,8,18,42,91,43,.462,,,,26,.605
Johnny Dawkins,28,1002,506,,115,134,26,10,207,414,107,.500,19,54,.352,73,.682
Todd Day,32,741,425,44,129,49,48,27,148,328,137,.451,31,90,.344,98,.715
Vinny Del Negro,19,125,39,,14,22,4,0,12,21,23,.571,,,,15,.652
Bison Dele,29,813,363,,173,22,17,36,156,260,76,.600,0,0,,51,.671
Vlade Divac*,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
James Donaldson,9,36,10,,17,0,,,4,7,3,.571,,,,2,.667
Sherman Douglas,27,307,146,,33,57,33,5,57,93,44,.613,,,,32,.727
Greg Dreiling,29,534,234,,121,17,9,35,82,151,93,.543,,,,70,.753
Clyde Drexler*,30,992,356,,314,78,58,28,153,303,85,.505,,,,50,.588
Kevin Duckworth,30,669,288,,181,12,8,9,112,212,95,.528,0,0,,64,.674
Chris Dudley,26,498,118,,132,10,8,17,45,97,60,.464,,,,28,.467
Joe Dumars*,29,,527,,64,80,39,2,206,464,160,.444,,,,115,.719
Richard Dumas,30,937,521,,193,49,49,31,203,372,154,.546,0,2,.000,115,.747
Pat Durham,28,499,167,,101,9,3,20,64,146,71,.438,,,,39,.549
Mark Eaton,19,155,39,,49,3,3,21,17,37,17,.459,,,,5,.294
Blue Edwards,28,876,404,,158,52,37,13,169,301,88,.561,1,4,.250,65,.739
James Edwards,25,,170,,115,,,,68,160,62,.425,,,,34,.548
Kevin Edwards,31,1060,447,,156,98,65,8,184,343,78,.536,16,36,.444,63,.808
Craig Ehlo,30,592,153,,65,56,32,10,57,119,65,.479,,,,39,.600
Mario Elie,25,754,386,,207,50,40,,157,268,97,.586,,,,72,.742
Sean Elliott,32,1079,499,,171,70,22,8,187,385,167,.486,,,,125,.749
Dale Ellis,27,573,193,,96,34,21,13,81,182,40,.445,,,,31,.775
LaPhonso Ellis,27,819,365,,254,31,22,53,156,277,76,.563,1,1,1.000,52,.684
Pervis Ellison,39,1194,510,,318,78,50,92,210,379,132,.554,,,,90,.682
Jo Jo English,28,376,105,,31,33,19,7,43,102,29,.422,2,11,.182,17,.586
Patrick Ewing*,37,1064,469,,279,23,40,119,183,290,167,.631,,,,103,.617
Duane Ferrell,32,802,290,,131,71,13,4,117,232,98,.504,,,,56,.571
Danny Ferry,40,912,236,,221,60,39,9,91,198,86,.460,,,,54,.628
Vern Fleming,30,1082,301,,80,86,43,3,108,225,122,.480,,,,85,.697
Sleepy Floyd,29,975,480,,119,78,55,9,177,388,155,.456,,,,126,.813
Greg Foster,31,441,101,,76,25,5,24,44,88,26,.500,0,0,,13,.500
Rick Fox,34,371,136,,63,32,26,5,59,94,30,.628,3,9,.333,15,.500
Kevin Gamble,30,260,79,,52,25,14,1,36,76,10,.474,,,,7,.700
Winston Garland,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Chris Gatling,27,839,604,,244,24,37,61,239,388,179,.616,0,0,,126,.704
Kenny Gattison,29,705,243,,218,18,14,17,94,187,78,.503,,,,55,.705
Matt Geiger,30,597,193,,124,24,11,9,80,156,50,.513,0,0,,33,.660
Tate George,26,962,261,,93,156,35,9,91,247,89,.368,10,29,.345,69,.775
Kendall Gill,31,345,114,,42,27,39,8,40,83,53,.482,0,1,.000,34,.642
Armen Gilliam,31,800,370,,212,6,27,15,136,219,150,.621,,,,98,.653
Gerald Glass,31,,388,,203,23,26,26,168,303,72,.554,,,,52,.722
Mike Gminski,27,,414,,289,20,,,175,340,91,.515,,,,64,.703
Paul Graham,29,757,461,,136,52,41,15,181,377,128,.480,,,,99,.773
Gary Grant,30,950,387,,76,140,50,4,169,307,60,.550,,,,49,.817
Greg Grant,26,,740,,104,,79,1,263,543,220,.484,43,83,.518,171,.777
Harvey Grant,28,418,144,,126,11,13,10,60,121,41,.496,,,,24,.585
Horace Grant,28,551,160,,129,49,21,21,64,120,43,.533,,,,32,.744
Jeff Grayer,33,1119,402,,213,63,34,13,153,289,147,.529,,,,96,.653
A.C. Green,30,895,259,,158,32,27,7,99,161,100,.615,,,,61,.610
Litterial Green,31,998,481,,57,133,32,3,144,356,187,.404,48,122,.393,145,.775
Sean Green,7,89,33,,7,0,2,0,12,32,3,.375,7,17,.412,2,.667
Sidney Green,32,1024,498,,354,51,16,,201,388,132,.518,,,,96,.727
Tom Gugliotta,21,171,56,,35,5,10,1,18,42,29,.429,1,2,.500,19,.655
Jay Guidinger,31,719,281,,209,28,,,116,177,87,.655,,,,49,.563
Tom Hammonds,34,1112,416,,219,37,14,11,168,276,98,.609,,,,80,.816
Tim Hardaway*,28,435,115,,35,53,24,3,37,71,63,.521,,,,41,.651
Derek Harper,29,934,241,,75,156,39,8,104,252,46,.413,,,,33,.717
Ron Harper,28,887,360,,195,62,62,29,148,298,95,.497,,,,64,.674
Scott Hastings,30,753,248,,138,38,10,11,97,191,74,.508,,,,54,.730
Hersey Hawkins,30,1121,439,,182,82,52,17,179,308,105,.581,,,,81,.771
Steve Henson,31,950,233,,63,114,50,2,75,190,69,.395,26,64,.406,57,.826
Carl Herrera,28,,713,,370,62,,,261,459,238,.569,11,20,.550,180,.756
Rod Higgins,22,,207,,127,38,12,14,79,153,66,.516,,,,49,.742
Sean Higgins,12,228,117,,38,13,3,0,48,96,14,.500,10,20,.500,11,.786
Tyrone Hill,31,881,274,,261,7,14,15,95,172,125,.552,0,0,,84,.672
Donald Hodge,31,1118,467,,253,22,26,23,164,303,195,.541,0,0,,139,.713
Dave Hoppen,32,829,445,,161,41,16,19,163,311,159,.524,,,,119,.748
Jeff Hornacek,27,583,146,,62,82,21,4,57,135,45,.422,,,,32,.711
Robert Horry,31,590,200,,156,35,22,37,79,185,59,.427,4,13,.308,38,.644
Byron Houston,30,842,391,,251,32,23,65,140,240,149,.583,0,0,,111,.745
Brian Howard,18,73,13,,9,3,3,3,5,14,4,.357,0,0,,3,.750
Stephen Howard,33,697,247,,162,42,25,15,93,198,82,.470,0,0,,61,.744
Jay Humphries,28,762,179,,59,99,41,4,74,143,47,.517,,,,31,.660
Byron Irvin,33,512,178,,58,40,20,1,74,155,52,.477,,,,30,.577
Mike Iuzzolino,27,292,64,,32,30,6,0,13,46,41,.283,3,12,.250,35,.854
Jaren Jackson,32,283,102,,49,19,19,1,42,97,22,.433,,,,18,.818
Jim Jackson,30,1035,482,,166,110,39,14,194,389,93,.499,21,59,.356,73,.785
Mark Jackson,30,855,175,,59,108,18,8,61,106,77,.575,,,,53,.688
Henry James,28,,191,,72,,,,85,190,29,.447,,,,21,.724
Keith Jennings,29,1060,375,,119,183,75,0,116,237,132,.489,34,89,.382,109,.826
Avery Johnson,33,,142,,31,111,,,54,106,55,.509,,,,34,.618
Buck Johnson,32,834,264,,144,31,30,21,104,217,88,.479,,,,56,.636
Dave Johnson,37,541,156,,74,37,17,4,59,129,68,.457,3,20,.150,35,.515
Eddie Johnson,27,469,220,,84,16,11,8,100,234,27,.427,,,,20,.741
Frank Johnson,30,1044,348,,84,74,46,3,150,328,69,.457,,,,48,.696
Kevin Johnson,28,773,271,,83,65,23,12,98,192,104,.510,,,,75,.721
Larry Johnson,40,1259,822,151,457,84,65,56,304,487,262,.624,13,38,.342,201,.767
Charles Jones,24,,228,,198,,,,106,206,35,.515,,,,16,.457
Michael Jordan*,34,1079,460,,149,61,41,8,191,358,108,.534,,,,78,.722
Thomas Jordan,23,572,318,,134,13,10,41,126,215,103,.586,0,1,.000,66,.641
Adam Keefe,33,653,277,,179,22,18,11,93,147,132,.633,0,0,,91,.689
Shawn Kemp,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Tim Kempton,27,739,285,,159,38,14,17,101,168,113,.601,,,,83,.735
Steve Kerr,28,633,198,,33,35,9,1,81,157,52,.516,,,,36,.692
Jerome Kersey,28,,472,,249,30,61,32,197,313,133,.629,,,,78,.586
Alec Kessler,28,421,140,,95,8,12,3,55,89,42,.618,0,0,,30,.714
Bo Kimble,28,694,340,,101,58,17,11,138,297,83,.465,,,,64,.771
Stan Kimbrough,28,1047,507,,94,66,65,1,207,417,124,.496,,,,93,.750
Bernard King*,25,,661,,308,39,,,273,439,147,.622,,,,115,.782
Rich King,29,420,136,,84,22,6,20,56,108,34,.519,0,0,,24,.706
Stacey King,14,230,84,,53,4,4,26,26,67,43,.388,,,,32,.744
Greg Kite,21,192,40,,86,9,3,11,14,48,25,.292,,,,12,.480
Joe Kleine,29,291,76,,71,11,6,5,32,50,16,.640,,,,12,.750
Negele Knight,30,801,213,,63,128,25,3,75,198,94,.379,,,,63,.670
Bart Kofoed,28,,128,,75,,,,55,116,31,.474,,,,18,.581
Jon Koncak,27,745,271,,155,25,13,36,107,232,92,.461,,,,57,.620
Larry Krystkowiak,28,396,137,,120,7,8,3,42,97,77,.433,,,,53,.688
Christian Laettner,36,607,319,,170,44,35,28,115,159,121,.723,1,1,1.000,88,.727
Bill Laimbeer,10,190,82,,79,10,,,32,65,23,.492,,,,18,.783
Jerome Lane,29,711,264,,148,46,23,13,95,202,113,.470,,,,74,.655
Andrew Lang,33,467,86,,67,7,9,23,34,84,32,.405,,,,18,.563
Doug Lee,30,348,148,,50,20,9,0,63,124,45,.508,,,,22,.489
Tim Legler,26,494,155,,72,51,15,2,69,147,24,.469,,,,17,.708
Jim Les,27,,193,,67,159,2,2,71,152,66,.467,,,,51,.773
Reggie Lewis,32,1030,571,,198,48,38,24,236,447,144,.528,,,,99,.688
Marcus Liberty,36,748,303,,141,42,38,10,120,252,73,.476,6,12,.500,57,.781
Todd Lichti,30,876,516,,142,38,47,3,188,353,172,.533,,,,140,.814
Alton Lister,29,584,255,,194,25,13,44,104,209,84,.498,,,,47,.560
Brad Lohaus,20,80,25,,11,10,1,2,9,29,13,.310,1,1,1.000,7,.538
Grant Long,28,551,116,,112,10,17,9,44,78,46,.564,,,,28,.609
