PER,Games,Minutes,Points,Rebounds,Assists,Steals,Blocks,Fgm,Fga,Fta,Fgp,Tpm,Tpa,Tpp,Ftm,Ftp
11.1,38,909.0,445,109,79.0,29.0,1.0,164,379,61,0.433,66,178,0.371,51,0.836
7.9,38,547.0,247,62,42.0,19.0,4.0,82,212,58,0.387,41,110,0.373,42,0.724
17.3,32,672.0,224,182,16.0,19.0,44.0,87,135,73,0.644,1,1,1.0,49,0.671
17.1,37,1072.0,632,198,143.0,77.0,29.0,230,505,194,0.455,34,124,0.274,138,0.711
13.4,29,360.0,110,74,1.0,4.0,22.0,41,75,55,0.547,0,0,0.0,28,0.509
19.7,30,605.0,315,241,9.0,37.0,24.0,132,256,88,0.516,0,3,0.0,51,0.58
18.8,36,989.0,448,303,37.0,32.0,74.0,179,293,143,0.611,0,1,0.0,90,0.629
13.8,35,1240.0,450,143,236.0,56.0,9.0,151,379,114,0.398,69,193,0.358,79,0.693
12.1,30,420.0,125,74,22.0,7.0,4.0,45,124,23,0.363,20,66,0.303,15,0.652
12.0,31,830.0,318,110,90.0,30.0,7.0,110,304,83,0.362,29,96,0.302,69,0.831
12.5,35,647.0,244,37,61.0,27.0,3.0,83,204,41,0.407,43,128,0.336,35,0.854
12.3,32,696.0,358,94,67.0,28.0,40.0,126,258,55,0.488,57,134,0.425,49,0.891
7.3,32,711.0,201,58,91.0,28.0,2.0,67,191,83,0.351,9,41,0.22,58,0.699
16.3,31,893.0,367,168,48.0,25.0,59.0,132,286,106,0.462,28,60,0.467,75,0.708
10.7,31,718.0,267,105,39.0,29.0,6.0,103,213,72,0.484,24,81,0.296,37,0.514
19.4,34,1176.0,487,212,63.0,59.0,34.0,166,353,132,0.47,63,141,0.447,92,0.697
10.8,31,1018.0,439,112,121.0,55.0,8.0,131,314,137,0.417,74,186,0.398,103,0.752
15.3,37,1198.0,452,321,55.0,20.0,69.0,174,312,167,0.558,0,0,0.0,104,0.623
14.9,34,844.0,427,93,105.0,34.0,6.0,140,315,117,0.444,62,150,0.413,85,0.726
14.0,32,1110.0,669,104,78.0,42.0,20.0,184,425,277,0.433,70,208,0.337,231,0.834
8.6,33,956.0,434,83,69.0,33.0,6.0,167,358,31,0.466,73,173,0.422,27,0.871
16.9,29,712.0,323,207,21.0,37.0,70.0,111,249,124,0.446,3,17,0.176,98,0.79
12.6,31,475.0,231,116,33.0,21.0,32.0,81,187,53,0.433,27,76,0.355,42,0.792
14.6,37,422.0,122,122,31.0,21.0,9.0,45,81,52,0.556,0,1,0.0,32,0.615
13.1,32,1083.0,418,212,93.0,31.0,52.0,146,291,146,0.502,24,60,0.4,102,0.699
11.0,32,800.0,269,83,60.0,22.0,10.0,91,218,75,0.417,26,68,0.382,61,0.813
21.0,33,937.0,484,301,61.0,33.0,28.0,184,324,197,0.568,0,2,0.0,116,0.589
13.4,34,676.0,341,126,50.0,27.0,12.0,123,300,64,0.41,58,159,0.365,37,0.578
7.2,35,827.0,255,98,112.0,35.0,0.0,75,175,74,0.429,47,114,0.412,58,0.784
14.8,31,943.0,587,243,40.0,38.0,23.0,199,349,253,0.57,2,4,0.5,187,0.739
24.4,34,1158.0,605,179,110.0,73.0,19.0,196,372,224,0.527,44,108,0.407,169,0.754
11.7,32,1155.0,497,276,47.0,51.0,45.0,193,427,139,0.452,17,79,0.215,94,0.676
13.4,34,315.0,123,85,9.0,9.0,20.0,46,103,36,0.447,5,15,0.333,26,0.722
16.0,32,1094.0,394,105,56.0,43.0,18.0,117,283,130,0.413,59,161,0.366,101,0.777
3.5,32,429.0,143,64,27.0,17.0,4.0,50,107,37,0.467,15,34,0.441,28,0.757
16.7,34,993.0,521,247,44.0,24.0,29.0,185,402,170,0.46,23,76,0.303,128,0.753
12.9,31,660.0,327,154,24.0,22.0,21.0,117,194,157,0.603,0,2,0.0,93,0.592
14.0,31,896.0,461,197,60.0,16.0,54.0,193,363,98,0.532,1,3,0.333,74,0.755
12.2,32,534.0,188,143,34.0,25.0,12.0,67,145,65,0.462,6,22,0.273,48,0.738
17.1,32,1045.0,420,207,63.0,48.0,30.0,125,261,124,0.479,69,154,0.448,101,0.815
9.0,34,553.0,224,124,10.0,20.0,3.0,83,194,72,0.428,10,48,0.208,48,0.667
9.3,36,990.0,483,157,53.0,54.0,18.0,162,354,115,0.458,69,165,0.418,90,0.783
17.1,37,586.0,212,164,34.0,27.0,58.0,88,181,73,0.486,4,18,0.222,32,0.438
15.5,32,507.0,163,111,30.0,11.0,40.0,60,128,65,0.469,0,0,0.0,43,0.662
16.1,31,890.0,458,262,31.0,22.0,47.0,163,276,195,0.591,0,1,0.0,132,0.677
4.7,32,1074.0,266,136,73.0,36.0,11.0,95,207,75,0.459,25,75,0.333,51,0.68
14.6,29,824.0,310,131,65.0,41.0,7.0,114,218,86,0.523,21,51,0.412,61,0.709
16.3,29,409.0,137,118,3.0,6.0,26.0,58,89,47,0.652,0,0,0.0,21,0.447
12.8,34,726.0,188,82,123.0,35.0,17.0,69,161,34,0.429,25,80,0.313,25,0.735
17.5,35,950.0,296,132,129.0,55.0,18.0,112,249,62,0.45,27,88,0.307,45,0.726
10.5,19,125.0,13,25,8.0,4.0,5.0,5,17,7,0.294,0,4,0.0,3,0.429
11.0,24,401.0,104,85,5.0,6.0,21.0,38,64,57,0.594,0,0,0.0,28,0.491
8.1,26,719.0,187,169,70.0,39.0,31.0,69,139,65,0.496,10,29,0.345,39,0.6
18.2,32,730.0,179,209,28.0,26.0,51.0,61,127,98,0.48,0,0,0.0,57,0.582
16.7,36,896.0,331,168,64.0,44.0,33.0,128,278,108,0.46,12,42,0.286,63,0.583
15.4,29,990.0,629,294,20.0,27.0,33.0,221,498,229,0.444,17,50,0.34,170,0.742
15.4,32,614.0,206,156,66.0,47.0,18.0,69,181,88,0.381,9,44,0.205,59,0.67
22.4,11,303.0,192,37,47.0,16.0,6.0,55,104,71,0.529,18,39,0.462,64,0.901
8.4,33,520.0,94,54,57.0,24.0,5.0,31,85,44,0.365,3,12,0.25,29,0.659
14.1,31,984.0,294,110,185.0,51.0,3.0,97,213,118,0.455,17,60,0.283,83,0.703
14.9,34,680.0,237,111,59.0,28.0,14.0,91,207,54,0.44,18,66,0.273,37,0.685
13.8,34,719.0,293,201,8.0,29.0,82.0,117,178,117,0.657,0,0,0.0,59,0.504
8.5,35,908.0,265,253,32.0,20.0,42.0,99,201,111,0.493,1,11,0.091,66,0.595
10.7,29,1004.0,436,133,60.0,49.0,15.0,160,340,123,0.471,20,61,0.328,96,0.78
11.7,31,716.0,338,69,30.0,14.0,5.0,109,233,60,0.468,72,149,0.483,48,0.8
15.1,28,452.0,209,90,12.0,25.0,8.0,82,164,71,0.5,0,4,0.0,45,0.634
13.9,30,875.0,438,244,37.0,41.0,40.0,164,337,119,0.487,28,100,0.28,82,0.689
8.5,31,807.0,383,152,65.0,18.0,12.0,133,323,120,0.412,40,125,0.32,77,0.642
10.0,31,983.0,381,244,33.0,24.0,33.0,141,317,89,0.445,32,109,0.294,67,0.753
9.5,32,841.0,341,130,49.0,38.0,26.0,119,281,113,0.423,11,34,0.324,92,0.814
8.4,32,353.0,86,55,15.0,10.0,12.0,33,98,30,0.337,1,13,0.077,19,0.633
11.9,31,1085.0,531,143,86.0,47.0,8.0,177,385,162,0.46,54,153,0.353,123,0.759
11.3,33,424.0,129,64,11.0,16.0,18.0,52,122,18,0.426,10,32,0.313,15,0.833
11.1,35,676.0,221,170,22.0,21.0,23.0,96,194,46,0.495,3,14,0.214,26,0.565
8.5,30,1017.0,417,215,36.0,16.0,27.0,162,295,137,0.549,2,10,0.2,91,0.664
10.2,30,782.0,198,185,22.0,13.0,64.0,77,141,80,0.546,0,0,0.0,44,0.55
17.1,38,1196.0,595,336,60.0,43.0,72.0,206,466,243,0.442,26,79,0.329,157,0.646
18.4,35,703.0,278,210,15.0,7.0,44.0,113,183,119,0.617,0,0,0.0,52,0.437
12.1,36,1166.0,375,128,109.0,37.0,11.0,136,322,73,0.422,52,126,0.413,51,0.699
0.6,34,458.0,116,81,17.0,30.0,8.0,44,103,52,0.427,7,26,0.269,21,0.404
14.9,28,520.0,273,135,6.0,14.0,45.0,105,183,90,0.574,0,0,0.0,63,0.7
13.4,40,1245.0,476,297,75.0,39.0,37.0,160,326,192,0.491,13,51,0.255,143,0.745
12.4,16,370.0,177,135,13.0,7.0,5.0,64,146,66,0.438,8,23,0.348,41,0.621
13.7,38,1363.0,657,153,159.0,25.0,8.0,217,513,171,0.423,87,231,0.377,136,0.795
12.8,33,601.0,291,101,32.0,21.0,5.0,97,204,38,0.475,63,145,0.434,34,0.895
15.4,37,1003.0,534,247,19.0,16.0,67.0,222,437,100,0.508,22,63,0.349,68,0.68
6.3,38,1078.0,469,75,62.0,22.0,6.0,161,324,100,0.497,68,140,0.486,79,0.79
15.6,41,1140.0,457,183,66.0,35.0,25.0,182,374,59,0.487,46,125,0.368,47,0.797
17.5,25,757.0,456,178,31.0,21.0,18.0,160,259,195,0.618,4,18,0.222,132,0.677
17.2,38,977.0,388,112,213.0,58.0,4.0,141,282,109,0.5,31,87,0.356,75,0.688
12.2,31,1028.0,461,160,63.0,55.0,17.0,176,391,72,0.45,57,143,0.399,52,0.722
19.1,31,557.0,218,145,32.0,20.0,21.0,84,145,91,0.579,0,0,0.0,50,0.549
9.5,29,309.0,92,44,17.0,14.0,4.0,38,76,24,0.5,6,20,0.3,10,0.417
23.4,34,1064.0,433,336,65.0,47.0,24.0,166,365,117,0.455,16,78,0.205,85,0.726
12.0,33,272.0,68,41,5.0,5.0,13.0,28,58,17,0.483,0,1,0.0,12,0.706
14.5,32,276.0,94,40,12.0,4.0,3.0,34,72,29,0.472,12,26,0.462,14,0.483
7.3,33,546.0,139,77,92.0,24.0,14.0,46,127,52,0.362,12,51,0.235,35,0.673
22.5,31,911.0,356,120,89.0,33.0,6.0,119,274,82,0.434,49,131,0.374,69,0.841
15.3,28,506.0,133,70,49.0,28.0,3.0,44,106,44,0.415,9,32,0.281,36,0.818
19.2,26,654.0,328,156,20.0,11.0,45.0,140,282,65,0.496,3,15,0.2,45,0.692
15.9,31,743.0,234,172,29.0,5.0,73.0,96,200,77,0.48,0,1,0.0,42,0.545
20.9,39,1156.0,681,415,75.0,27.0,56.0,227,406,258,0.559,29,82,0.354,198,0.767
17.8,24,557.0,180,76,49.0,31.0,5.0,64,152,74,0.421,5,22,0.227,47,0.635
11.8,30,1006.0,395,76,120.0,40.0,0.0,143,330,63,0.433,59,158,0.373,50,0.794
13.7,31,836.0,288,104,150.0,40.0,2.0,90,222,134,0.405,15,54,0.278,93,0.694
12.3,32,982.0,382,142,111.0,36.0,1.0,122,312,107,0.391,57,175,0.326,81,0.757
10.7,37,912.0,230,77,230.0,40.0,3.0,76,181,84,0.42,20,52,0.385,58,0.69
10.1,20,377.0,138,60,21.0,4.0,0.0,49,124,37,0.395,17,49,0.347,23,0.622
17.7,28,913.0,619,133,43.0,51.0,10.0,196,405,186,0.484,73,191,0.382,154,0.828
12.3,23,573.0,207,93,51.0,29.0,5.0,65,163,80,0.399,14,32,0.438,63,0.788
13.0,35,732.0,282,237,3.0,24.0,52.0,117,212,82,0.552,0,0,0.0,48,0.585
10.6,29,455.0,135,38,65.0,22.0,0.0,49,114,41,0.43,3,15,0.2,34,0.829
13.4,33,1216.0,684,150,109.0,51.0,13.0,237,536,152,0.442,88,215,0.409,122,0.803
10.7,39,1151.0,354,318,52.0,44.0,22.0,134,249,112,0.538,5,38,0.132,81,0.723
19.6,33,330.0,108,72,3.0,6.0,30.0,45,75,34,0.6,2,3,0.667,16,0.471
9.8,26,409.0,111,88,21.0,11.0,22.0,46,119,38,0.387,3,22,0.136,16,0.421
13.2,36,883.0,312,189,53.0,41.0,46.0,115,190,116,0.605,5,13,0.385,77,0.664
12.8,34,751.0,295,96,51.0,32.0,2.0,95,227,68,0.419,44,121,0.364,61,0.897
4.9,33,327.0,77,64,8.0,10.0,25.0,34,56,25,0.607,0,0,0.0,9,0.36
16.7,34,710.0,245,125,37.0,29.0,10.0,79,190,72,0.416,33,102,0.324,54,0.75
8.7,36,764.0,191,111,72.0,27.0,22.0,66,161,51,0.41,18,54,0.333,41,0.804
8.4,37,903.0,393,182,53.0,25.0,24.0,138,309,114,0.447,24,69,0.348,93,0.816
13.5,32,1027.0,472,67,111.0,57.0,3.0,161,375,117,0.429,61,189,0.323,89,0.761
18.7,30,1053.0,467,374,22.0,26.0,52.0,175,298,181,0.587,1,1,1.0,116,0.641
20.1,31,958.0,393,203,79.0,57.0,45.0,143,250,150,0.572,2,6,0.333,105,0.7
11.4,34,1040.0,437,131,88.0,32.0,15.0,159,359,74,0.443,66,152,0.434,53,0.716
7.7,32,777.0,140,58,84.0,20.0,5.0,52,128,46,0.406,7,39,0.179,29,0.63
13.2,35,646.0,258,166,38.0,36.0,12.0,94,190,106,0.495,6,15,0.4,64,0.604
13.5,35,547.0,162,155,34.0,14.0,25.0,60,134,60,0.448,3,16,0.188,39,0.65
13.2,31,392.0,177,59,11.0,14.0,8.0,61,154,19,0.396,38,104,0.365,17,0.895
14.1,37,992.0,325,302,24.0,31.0,35.0,130,259,101,0.502,11,39,0.282,54,0.535
12.2,33,671.0,292,154,9.0,16.0,37.0,120,188,93,0.638,0,1,0.0,52,0.559
12.6,29,930.0,540,122,47.0,18.0,1.0,169,423,142,0.4,86,230,0.374,116,0.817
14.4,33,1114.0,412,133,213.0,55.0,2.0,131,284,133,0.461,41,110,0.373,109,0.82
12.2,30,754.0,376,180,7.0,17.0,81.0,154,256,111,0.602,0,1,0.0,68,0.613
17.6,29,273.0,102,72,15.0,6.0,19.0,36,60,52,0.6,0,0,0.0,30,0.577
12.7,33,512.0,220,71,17.0,7.0,0.0,67,133,33,0.504,55,109,0.505,31,0.939
17.9,31,518.0,164,104,12.0,10.0,25.0,62,126,37,0.492,17,45,0.378,23,0.622
17.0,34,1021.0,267,306,27.0,26.0,138.0,105,178,92,0.59,0,0,0.0,57,0.62
11.9,38,502.0,129,126,15.0,21.0,53.0,48,91,63,0.527,0,2,0.0,33,0.524
8.2,33,565.0,89,71,67.0,29.0,3.0,29,104,34,0.279,8,35,0.229,23,0.676
14.7,36,744.0,293,143,51.0,18.0,8.0,103,218,83,0.472,35,108,0.324,52,0.627
12.5,25,893.0,411,192,43.0,21.0,31.0,162,282,119,0.574,0,3,0.0,87,0.731
24.3,31,1041.0,460,101,183.0,84.0,12.0,135,272,178,0.496,40,86,0.465,150,0.843
9.1,29,155.0,74,52,2.0,5.0,10.0,29,48,34,0.604,0,0,0.0,16,0.471
13.7,24,165.0,42,34,1.0,4.0,12.0,18,38,11,0.474,0,0,0.0,6,0.545
9.8,32,764.0,342,128,49.0,21.0,6.0,124,249,100,0.498,18,48,0.375,76,0.76
12.2,31,742.0,291,93,113.0,37.0,2.0,99,256,100,0.387,24,88,0.273,69,0.69
9.1,25,746.0,282,58,72.0,31.0,1.0,99,267,61,0.371,37,134,0.276,47,0.77
12.2,34,521.0,131,53,51.0,28.0,3.0,43,90,20,0.478,29,66,0.439,16,0.8
16.5,31,1016.0,483,263,38.0,35.0,70.0,183,394,166,0.464,2,19,0.105,115,0.693
12.6,26,351.0,193,101,9.0,14.0,24.0,65,129,82,0.504,7,19,0.368,56,0.683
14.9,33,1013.0,495,81,67.0,38.0,2.0,149,361,111,0.413,95,238,0.399,102,0.919
13.9,28,848.0,208,70,106.0,29.0,4.0,59,174,77,0.339,29,99,0.293,61,0.792
9.7,34,1129.0,527,115,71.0,33.0,1.0,174,402,184,0.433,58,159,0.365,121,0.658
13.0,29,586.0,267,77,42.0,14.0,0.0,90,200,56,0.45,43,100,0.43,44,0.786
15.6,23,576.0,300,89,52.0,26.0,0.0,120,260,57,0.462,19,74,0.257,41,0.719
14.0,33,236.0,83,88,9.0,7.0,18.0,33,68,43,0.485,0,0,0.0,17,0.395
15.8,34,854.0,274,97,118.0,87.0,8.0,102,200,103,0.51,10,33,0.303,60,0.583
12.4,34,593.0,273,96,33.0,19.0,12.0,102,230,33,0.443,44,125,0.352,25,0.758
20.0,13,224.0,79,38,13.0,4.0,3.0,30,60,37,0.5,1,10,0.1,18,0.486
9.9,33,1047.0,444,195,65.0,29.0,23.0,170,359,71,0.474,50,106,0.472,54,0.761
10.8,29,269.0,82,52,7.0,7.0,6.0,28,63,41,0.444,0,0,0.0,26,0.634
10.8,37,929.0,436,181,35.0,22.0,49.0,163,282,165,0.578,0,1,0.0,110,0.667
15.4,32,531.0,157,165,4.0,11.0,95.0,63,125,68,0.504,0,0,0.0,31,0.456
12.3,32,579.0,182,168,15.0,20.0,12.0,63,143,74,0.441,4,10,0.4,52,0.703
2.7,26,530.0,206,58,56.0,21.0,1.0,72,193,37,0.373,34,94,0.362,28,0.757
15.9,32,994.0,288,120,166.0,47.0,3.0,106,257,101,0.412,6,27,0.222,70,0.693
9.7,31,981.0,330,121,154.0,64.0,6.0,106,271,131,0.391,32,102,0.314,86,0.656
15.0,28,275.0,54,48,8.0,8.0,16.0,21,52,17,0.404,2,12,0.167,10,0.588
9.5,34,972.0,451,198,48.0,36.0,25.0,159,348,106,0.457,51,150,0.34,82,0.774
8.2,35,942.0,282,172,37.0,54.0,47.0,95,232,95,0.409,34,102,0.333,58,0.611
11.9,34,606.0,176,64,60.0,24.0,2.0,67,137,42,0.489,14,42,0.333,28,0.667
13.8,33,913.0,381,192,40.0,27.0,40.0,148,257,145,0.576,0,0,0.0,85,0.586
13.1,31,927.0,269,117,186.0,36.0,1.0,102,238,91,0.429,23,65,0.354,42,0.462
12.9,26,635.0,274,152,45.0,11.0,36.0,103,186,95,0.554,3,12,0.25,65,0.684
7.5,34,500.0,202,52,45.0,18.0,5.0,70,150,52,0.467,22,57,0.386,40,0.769
16.7,33,189.0,134,86,2.0,8.0,15.0,57,85,30,0.671,0,0,0.0,20,0.667
12.2,34,960.0,419,182,84.0,31.0,6.0,162,368,119,0.44,16,73,0.219,79,0.664
9.5,33,720.0,94,134,114.0,52.0,5.0,28,82,53,0.341,8,34,0.235,30,0.566
14.9,30,990.0,726,144,123.0,66.0,8.0,250,510,225,0.49,55,148,0.372,171,0.76
16.2,37,1172.0,635,377,43.0,37.0,20.0,222,410,267,0.541,3,12,0.25,188,0.704
7.1,37,975.0,339,138,40.0,30.0,24.0,108,262,106,0.412,42,127,0.331,81,0.764
5.8,35,928.0,340,76,104.0,38.0,8.0,120,237,105,0.506,24,66,0.364,76,0.724
16.8,30,892.0,416,82,74.0,55.0,15.0,135,311,142,0.434,32,81,0.395,114,0.803
4.9,40,1303.0,401,101,191.0,37.0,11.0,145,352,119,0.412,26,80,0.325,85,0.714
9.4,36,1207.0,182,94,99.0,38.0,31.0,65,194,37,0.335,27,109,0.248,25,0.676
10.3,31,762.0,193,199,12.0,6.0,118.0,67,121,115,0.554,0,0,0.0,59,0.513
19.6,35,993.0,541,106,91.0,38.0,2.0,180,431,207,0.418,39,134,0.291,142,0.686
8.3,31,463.0,124,76,1.0,17.0,3.0,46,81,54,0.568,0,0,0.0,32,0.593
8.4,32,967.0,401,281,50.0,20.0,64.0,148,288,183,0.514,0,0,0.0,105,0.574
14.8,32,829.0,395,295,42.0,33.0,99.0,152,250,137,0.608,1,1,1.0,90,0.657
13.5,30,830.0,274,221,45.0,21.0,29.0,104,236,91,0.441,6,26,0.231,60,0.659
16.2,33,1092.0,414,138,62.0,30.0,20.0,159,378,31,0.421,68,165,0.412,28,0.903
15.5,36,1104.0,471,282,45.0,34.0,86.0,172,315,261,0.546,0,0,0.0,127,0.487
15.5,31,1043.0,608,174,42.0,43.0,10.0,212,486,115,0.436,90,239,0.377,94,0.817
10.9,27,175.0,22,34,7.0,5.0,8.0,10,25,9,0.4,0,6,0.0,2,0.222
10.0,33,742.0,342,225,27.0,29.0,6.0,133,243,117,0.547,0,0,0.0,76,0.65
13.8,32,624.0,235,161,16.0,12.0,26.0,73,139,128,0.525,0,2,0.0,89,0.695
11.9,37,1004.0,313,164,98.0,47.0,19.0,109,232,103,0.47,23,69,0.333,72,0.699
12.0,35,710.0,176,139,28.0,23.0,67.0,76,162,41,0.469,0,3,0.0,24,0.585
11.5,35,473.0,174,146,11.0,12.0,67.0,75,116,45,0.647,0,1,0.0,24,0.533
13.7,34,980.0,334,112,157.0,39.0,5.0,114,257,94,0.444,31,98,0.316,75,0.798
16.0,32,607.0,286,168,23.0,6.0,48.0,113,220,63,0.514,18,49,0.367,42,0.667
20.3,23,254.0,59,61,7.0,9.0,9.0,26,45,8,0.578,0,3,0.0,7,0.875
23.5,32,935.0,571,211,110.0,79.0,36.0,223,458,155,0.487,18,52,0.346,107,0.69
12.0,34,554.0,223,53,50.0,38.0,4.0,78,190,48,0.411,28,85,0.329,39,0.813
19.1,36,907.0,321,125,104.0,38.0,6.0,110,234,123,0.47,13,48,0.271,88,0.715
19.0,37,1288.0,616,159,241.0,66.0,19.0,202,438,232,0.461,37,114,0.325,175,0.754
11.7,34,868.0,193,138,131.0,36.0,21.0,65,184,73,0.353,11,55,0.2,52,0.712
15.5,35,609.0,214,168,18.0,20.0,22.0,95,172,60,0.552,1,2,0.5,23,0.383
13.1,29,1038.0,263,121,160.0,36.0,6.0,80,188,121,0.426,24,66,0.364,79,0.653
5.7,33,495.0,226,49,42.0,21.0,1.0,76,175,70,0.434,17,54,0.315,57,0.814
18.6,33,970.0,386,301,57.0,52.0,35.0,143,269,150,0.532,0,0,0.0,100,0.667
22.2,36,325.0,122,28,24.0,14.0,1.0,48,105,31,0.457,9,22,0.409,17,0.548
14.5,29,814.0,386,143,23.0,14.0,64.0,143,250,141,0.572,0,0,0.0,100,0.709
9.9,30,615.0,182,86,51.0,27.0,17.0,71,169,40,0.42,20,69,0.29,20,0.5
11.5,34,1083.0,389,197,77.0,41.0,21.0,127,311,159,0.408,29,89,0.326,106,0.667
18.2,32,868.0,202,95,145.0,46.0,5.0,75,176,45,0.426,28,79,0.354,24,0.533
13.4,31,875.0,486,219,22.0,19.0,20.0,162,282,232,0.574,4,16,0.25,158,0.681
13.6,36,800.0,407,236,26.0,39.0,17.0,125,247,163,0.506,19,44,0.432,138,0.847
15.0,35,1121.0,363,137,159.0,59.0,4.0,123,327,98,0.376,33,126,0.262,84,0.857
11.5,33,828.0,278,155,70.0,33.0,11.0,104,266,49,0.391,40,129,0.31,30,0.612
20.3,37,1013.0,545,229,37.0,36.0,65.0,228,353,157,0.646,0,0,0.0,89,0.567
-1.9,16,277.0,91,39,34.0,14.0,1.0,34,70,23,0.486,11,23,0.478,12,0.522
12.6,35,1062.0,559,176,130.0,66.0,13.0,198,447,264,0.443,9,56,0.161,154,0.583
12.9,29,746.0,321,118,38.0,22.0,9.0,123,279,73,0.441,28,89,0.315,47,0.644
11.5,33,672.0,261,144,28.0,22.0,20.0,98,188,88,0.521,4,21,0.19,61,0.693
16.4,31,917.0,445,151,63.0,39.0,12.0,177,370,70,0.478,39,93,0.419,52,0.743
5.6,27,371.0,92,85,28.0,3.0,7.0,32,88,17,0.364,20,59,0.339,8,0.471
14.9,15,117.0,47,30,3.0,3.0,3.0,17,36,17,0.472,0,0,0.0,13,0.765
13.8,31,943.0,489,334,30.0,34.0,58.0,182,369,187,0.493,13,40,0.325,112,0.599
17.1,32,749.0,231,203,20.0,21.0,65.0,100,175,70,0.571,0,0,0.0,31,0.443
20.0,38,1145.0,494,304,32.0,26.0,57.0,170,284,236,0.599,0,0,0.0,154,0.653
9.5,22,569.0,188,101,20.0,10.0,12.0,70,156,36,0.449,23,75,0.307,25,0.694
13.3,10,304.0,152,76,21.0,9.0,17.0,61,133,33,0.459,13,60,0.217,17,0.515
11.0,33,839.0,352,127,49.0,28.0,18.0,124,276,63,0.449,58,148,0.392,46,0.73
12.2,35,322.0,153,35,14.0,10.0,5.0,45,106,53,0.425,18,52,0.346,45,0.849
20.0,33,1061.0,442,278,27.0,19.0,51.0,179,316,149,0.566,0,7,0.0,84,0.564
13.6,25,874.0,303,93,77.0,43.0,2.0,99,221,81,0.448,40,108,0.37,65,0.802
14.3,35,1046.0,338,302,122.0,62.0,31.0,122,293,117,0.416,8,38,0.211,86,0.735
13.9,22,768.0,407,125,88.0,29.0,6.0,131,345,128,0.38,49,141,0.348,96,0.75
13.2,34,466.0,165,90,18.0,27.0,26.0,66,116,42,0.569,13,29,0.448,20,0.476
9.9,34,1156.0,405,72,119.0,38.0,0.0,106,309,148,0.343,71,217,0.327,122,0.824
20.5,35,1172.0,704,405,57.0,20.0,66.0,276,451,191,0.612,12,35,0.343,140,0.733
16.0,11,142.0,55,48,2.0,2.0,18.0,22,35,29,0.629,0,0,0.0,11,0.379
17.1,33,1118.0,694,366,50.0,27.0,29.0,270,440,209,0.614,23,58,0.397,131,0.627
11.3,11,314.0,133,64,17.0,9.0,9.0,45,131,35,0.344,17,64,0.266,26,0.743
16.7,30,906.0,387,316,15.0,23.0,111.0,146,270,119,0.541,14,51,0.275,81,0.681
14.9,39,1286.0,671,304,124.0,41.0,36.0,245,513,188,0.478,44,130,0.338,137,0.729
16.6,39,807.0,277,113,38.0,12.0,9.0,102,198,56,0.515,30,79,0.38,43,0.768
11.4,31,469.0,105,92,65.0,14.0,16.0,39,97,34,0.402,8,37,0.216,19,0.559
15.9,24,595.0,248,96,98.0,35.0,11.0,98,195,66,0.503,11,40,0.275,41,0.621
12.8,38,1341.0,860,288,164.0,34.0,16.0,319,702,224,0.454,73,237,0.308,149,0.665
19.5,34,1067.0,495,340,24.0,27.0,81.0,188,300,143,0.627,9,20,0.45,110,0.769
12.9,33,327.0,125,68,17.0,11.0,19.0,44,93,28,0.473,18,39,0.462,19,0.679
12.4,34,1014.0,529,180,51.0,32.0,6.0,185,393,128,0.471,55,142,0.387,104,0.813
13.8,36,1064.0,296,183,46.0,31.0,12.0,109,238,45,0.458,49,131,0.374,29,0.644
14.6,10,150.0,44,50,0.0,2.0,19.0,16,28,22,0.571,0,0,0.0,12,0.545
0.5,32,546.0,217,52,33.0,18.0,3.0,72,189,33,0.381,47,133,0.353,26,0.788
13.9,9,268.0,189,86,9.0,7.0,24.0,74,132,37,0.561,13,25,0.52,28,0.757
18.4,38,816.0,381,76,42.0,17.0,2.0,135,287,64,0.47,58,141,0.411,53,0.828
11.8,25,759.0,287,112,40.0,33.0,4.0,103,290,65,0.355,30,100,0.3,51,0.785
19.5,38,981.0,459,280,15.0,30.0,110.0,159,295,149,0.539,39,115,0.339,102,0.685
7.7,28,725.0,364,115,36.0,21.0,6.0,128,277,101,0.462,25,72,0.347,83,0.822
6.5,36,480.0,90,60,33.0,25.0,10.0,33,101,22,0.327,9,39,0.231,15,0.682
19.3,38,553.0,269,195,23.0,10.0,22.0,102,178,105,0.573,0,0,0.0,65,0.619
9.5,32,948.0,437,114,64.0,23.0,9.0,160,321,96,0.498,37,89,0.416,80,0.833
13.9,31,880.0,364,227,40.0,40.0,14.0,134,290,116,0.462,13,39,0.333,83,0.716
10.3,31,569.0,163,90,15.0,21.0,7.0,56,130,26,0.431,32,72,0.444,19,0.731
14.4,40,813.0,254,128,35.0,42.0,26.0,86,165,75,0.521,23,77,0.299,59,0.787
12.6,37,1411.0,553,327,34.0,43.0,29.0,162,458,221,0.354,55,166,0.331,174,0.787
17.0,28,626.0,188,78,38.0,14.0,3.0,63,159,50,0.396,22,68,0.324,40,0.8
10.9,36,1020.0,413,176,65.0,18.0,20.0,150,329,103,0.456,28,83,0.337,85,0.825
12.8,33,1053.0,391,186,106.0,49.0,18.0,134,292,121,0.459,33,95,0.347,90,0.744
10.4,26,535.0,243,161,10.0,15.0,26.0,81,193,72,0.42,30,91,0.33,51,0.708
16.4,34,939.0,498,182,68.0,27.0,22.0,163,378,217,0.431,30,102,0.294,142,0.654
