Names,PER
Luc Longley,11.8
Kevin Lynch,7.7
Sam Mack,12.2
Don MacLean,15.1
Mark Macon,8.9
Rick Mahorn,11.6
Dan Majerle,13.8
Jeff Malone,15.2
Karl Malone*,23.9
Moses Malone*,22.0
Danny Manning,16.9
Šarūnas Marčiulionis*,16.7
Anthony Mason,14.6
Marlon Maxey,15.6
Vernon Maxwell,12.7
Lee Mayberry,10.1
Travis Mays,11.7
Bob McCann,10.2
George McCloud,12.7
Rodney McCray,14.4
Xavier McDaniel,16.1
Kevin McHale*,20.0
Derrick McKey,13.9
Nate McMillan,14.5
Oliver Miller,15.2
Reggie Miller*,18.4
Terry Mills,14.7
Harold Miner,12.6
Sam Mitchell,12.6
Tracy Moore,12.7
Chris Morris,15.1
Isaiah Morris,10.6
Alonzo Mourning*,21.2
Chris Mullin*,18.8
Eric Murdock,17.4
Tracy Murray,14.6
Jerrod Mustaf,10.7
Dikembe Mutombo*,17.2
Larry Nance,19.9
Ed Nealy,10.5
Melvin Newbern,11.5
Johnny Newman,12.9
Ken Norman,14.5
Shaquille O'Neal*,26.4
Dan O'Sullivan,8.3
Charles Oakley,13.4
Alan Ogg,9.1
Hakeem Olajuwon*,23.6
Matt Othick,5.9
Doug Overton,10.0
Billy Owens,14.4
Robert Pack,15.0
Gerald Paddio,10.6
Walter Palmer,11.0
Robert Parish*,19.2
John Paxson,12.0
Kenny Payne,10.3
Gary Payton*,18.9
Anthony Peeler,12.9
Will Perdue,13.6
Sam Perkins,15.5
Tim Perry,12.4
Chuck Person,13.7
Dražen Petrović*,16.4
Bobby Phills,14.1
Ricky Pierce,17.7
Ed Pinckney,14.8
Scottie Pippen*,18.6
Gary Plummer,8.1
Olden Polynice,13.2
Terry Porter,17.2
Paul Pressey,15.5
Brent Price,13.3
Mark Price,19.6
Anthony Pullard,9.2
Kurt Rambis,13.1
Mark Randall,11.6
Blair Rasmussen,13.3
J.R. Reid,11.9
Glen Rice,16.2
Pooh Richardson,14.9
Mitch Richmond*,17.6
Doc Rivers,16.6
Fred Roberts,12.6
Stanley Roberts,13.6
Alvin Robertson,17.0
Clifford Robinson,14.5
David Robinson*,26.2
Larry Robinson,10.3
Rumeal Robinson,12.9
Dennis Rodman*,14.6
Tree Rollins,13.6
Sean Rooks,12.0
Donald Royal,12.8
Delaney Rudd,9.8
Jeff Ruland,18.7
John Salley,12.8
Jeff Sanders,7.1
Mike Sanders,11.9
Danny Schayes,13.4
Steve Scheffler,13.5
Dwayne Schintzius,9.4
Detlef Schrempf,17.2
Byron Scott,15.5
Dennis Scott,13.4
Malik Sealy,13.6
Rony Seikaly,15.7
Brad Sellers,11.1
Charles Shackleford,13.1
Brian Shaw,11.7
Lionel Simmons,14.7
Scott Skiles,14.4
Charles Smith,15.7
Chris Smith,10.7
Doug Smith,11.7
Kenny Smith,14.9
LaBradford Smith,10.8
Larry Smith,12.6
Reggie Smith,9.1
Steve Smith,16.1
Tony Smith,11.4
Rik Smits,17.9
Andre Spencer,14.1
Elmore Spencer,9.9
Felton Spencer,10.8
Latrell Sprewell,15.1
John Starks,14.0
Barry Stevens,15.2
Larry Stewart,13.0
Bryant Stith,12.8
Alex Stivrins,10.5
John Stockton*,21.8
Rod Strickland,18.0
Derek Strong,13.8
Lamont Strothers,5.8
Terry Teagle,13.7
Isiah Thomas*,18.1
LaSalle Thompson,13.6
Otis Thorpe,16.0
Sedale Threatt,14.7
Wayman Tisdale,15.7
Tom Tolbert,10.5
Trent Tucker,12.9
Jeff Turner,8.4
