Names,PER
Kiki Vandeweghe,18.4
Loy Vaught,15.4
Gundars Vētra,13.6
Darrell Walker,13.7
Duane Washington,13.4
Clarence Weatherspoon,15.6
Marcus Webb,20.1
Spud Webb,15.1
Robert Werdann,9.8
Doug West,11.5
Mark West,12.0
Randy White,11.0
Morlon Wiley,10.6
Dominique Wilkins*,21.6
Eddie Lee Wilkins,10.2
Gerald Wilkins,13.0
Buck Williams,15.3
Corey Williams,9.1
Herb Williams,13.6
Hot Rod Williams,15.6
Jayson Williams,15.1
John Williams,14.6
Kenny Williams,16.1
Lorenzo Williams,10.2
Micheal Williams,17.9
Reggie Williams,14.2
Scott Williams,13.3
Walt Williams,14.2
Kevin Willis,15.7
Kennard Winchester,10.2
David Wingate,10.0
Joe Wolf,7.8
David Wood,10.0
Randy Woods,11.6
Orlando Woolridge,16.6
James Worthy*,17.7
Howard Wright,9.8
Danny Young,12.2
Tariq Abdul-Wahad,11.4
Shareef Abdur-Rahim,19.0
Courtney Alexander,11.5
Malik Allen,9.9
Ray Allen*,18.6
Rafer Alston,13.2
John Amaechi,8.9
Chris Andersen,16.7
Derek Anderson,15.3
Kenny Anderson,16.4
Shandon Anderson,11.7
Robert Archibald,4.9
Gilbert Arenas,19.6
Brandon Armstrong,4.9
Darrell Armstrong,16.3
Carlos Arroyo,13.4
Chucky Atkins,13.1
Stacey Augmon,13.7
Dalibor Bagarić,7.0
Vin Baker,16.3
Brent Barry,15.7
Jon Barry,14.7
Maceo Baston,14.4
Mengke Bateer,6.4
Mike Batiste,12.2
Tony Battie,12.6
Shane Battier,12.6
Lonny Baxter,11.6
Raja Bell,10.9
Jonathan Bender,10.9
Corey Benjamin,8.9
Travis Best,13.8
Mike Bibby,16.1
Chauncey Billups,18.8
Corie Blount,11.1
Mark Blount,12.5
Calvin Booth,12.4
Carlos Boozer,19.5
Ruben Boumtje-Boumtje,6.4
Bruce Bowen,8.2
Ryan Bowen,10.5
Earl Boykins,15.7
Michael Bradley,11.3
Shawn Bradley,16.0
Elton Brand,20.5
J.R. Bremer,11.2
Jamison Brewer,7.0
Primož Brezec,13.6
Damone Brown,3.9
Devin Brown,11.9
Kedrick Brown,11.0
Kwame Brown,12.5
P.J. Brown,14.1
Randy Brown,10.3
Tierre Brown,10.8
Rick Brunson,10.7
Kobe Bryant*,22.9
Mark Bryant,10.9
Greg Buckner,10.7
Pat Burke,8.9
Caron Butler,15.0
Rasual Butler,10.6
Jason Caffey,12.5
Marcus Camby,17.8
Elden Campbell,15.9
Brian Cardinal,12.7
Anthony Carter,10.8
Vince Carter,18.6
Sam Cassell,19.5
Kelvin Cato,14.4
Tyson Chandler,16.1
Calbert Cheaney,11.0
Chris Childs,11.2
Doug Christie,14.6
Keon Clark,15.4
Speedy Claxton,14.5
Mateen Cleaves,8.5
Derrick Coleman,18.0
Bimbo Coles,12.1
Jason Collier,11.7
Jarron Collins,9.4
Jason Collins,7.0
Chris Crawford,12.9
Jamal Crawford,15.1
Austin Croshere,14.3
John Crotty,12.7
Eddy Curry,15.9
Michael Curry,7.5
Erick Dampier,14.3
Antonio Daniels,14.6
Antonio Davis,14.1
Baron Davis,17.8
Dale Davis,15.2
Emanual Davis,9.6
Hubert Davis,11.8
Ricky Davis,14.7
Andrew DeClercq,12.1
Tony Delk,13.7
Dan Dickau,12.9
Michael Dickerson,13.4
DeSagana Diop,9.8
Vlade Divac*,17.7
Juan Dixon,12.8
Michael Doleac,10.8
Keyon Dooling,11.5
Bryce Drew,9.6
Predrag Drobnjak,12.6
Chris Dudley,10.7
Tim Duncan*,24.2
Mike Dunleavy,13.9
Howard Eisley,11.5
LaPhonso Ellis,14.6
Melvin Ely,10.6
Evan Eschmeyer,10.6
Reggie Evans,11.7
Danny Ferry,11.8
Michael Finley,16.0
Derek Fisher,11.7
Marcus Fizer,13.4
Alton Ford,9.4
Joseph Forte,3.2
Danny Fortson,16.2
Greg Foster,8.9
Jeff Foster,14.2
Tremaine Fowlkes,10.1
Rick Fox,13.6
Adonal Foyle,12.3
Steve Francis,18.3
Lawrence Funderburke,16.4
Dan Gadzuric,14.4
Kevin Garnett*,22.7
Pat Garrity,10.7
Pau Gasol,21.4
Devean George,10.6
Kendall Gill,14.7
Manu Ginóbili*,20.2
Gordan Giriček,11.8
Dion Glover,12.8
Anthony Goldwire,12.7
Drew Gooden,16.3
Brian Grant,14.9
Horace Grant,16.0
Adrian Griffin,11.8
Eddie Griffin,14.3
Tom Gugliotta,15.9
A.J. Guyton,10.9
Marcus Haislip,10.8
Darvin Ham,9.0
Richard Hamilton,16.5
Zendon Hamilton,14.0
Anfernee Hardaway,17.4
Tim Hardaway*,18.6
Matt Harpring,15.3
Adam Harrington,7.4
Al Harrington,14.3
Junior Harrington,7.1
Othella Harrington,12.5
Lucious Harris,12.8
Antonio Harvey,9.7
Donnell Harvey,12.5
Trenton Hassell,8.4
Kirk Haston,-1.5
Juaquin Hawkins,7.3
Brendan Haywood,14.6
Alan Henderson,14.5
Nenê,17.1
Grant Hill*,19.0
Tyrone Hill,14.0
Fred Hoiberg,13.7
Robert Horry,13.4
Eddie House,13.2
Allan Houston,14.9
Juwan Howard,14.6
Troy Hudson,13.1
Nate Huffman,11.8
Larry Hughes,14.9
Ryan Humphrey,6.6
Lindsey Hunter,12.1
Steven Hunter,13.0
Zydrunas Ilgauskas,18.5
Allen Iverson*,20.9
Bobby Jackson,15.2
Jermaine Jackson,8.8
Jim Jackson,13.5
Marc Jackson,14.1
Mark Jackson,16.0
Stephen Jackson,14.3
Casey Jacobsen,9.2
Jerome James,10.6
Mike James,14.0
Antawn Jamison,18.1
Marko Jarić,12.0
Chris Jefferies,7.2
Richard Jefferson,14.4
Jared Jeffries,9.6
Anthony Johnson,11.2
Avery Johnson,14.5
Ervin Johnson,12.2
Joe Johnson,15.4
Ken Johnson,6.1
Damon Jones,12.4
Eddie Jones,16.7
Fred Jones,11.3
Jumaine Jones,12.5
Popeye Jones,13.3
Michael Jordan*,27.9
Shawn Kemp,19.1
Steve Kerr,13.1
Jason Kidd*,17.9
Andrei Kirilenko,18.7
Kerry Kittles,16.0
Brevin Knight,14.9
Travis Knight,11.4
Toni Kukoč*,17.3
Christian Laettner,16.9
Raef LaFrentz,16.1
Sean Lampley,13.5
Dan Langhi,8.8
Voshon Lenard,13.8
Rashard Lewis,16.8
Randy Livingston,10.0
Art Long,9.7
Grant Long,13.3
Tyronn Lue,13.2
George Lynch,12.8
Todd MacCulloch,16.9
Tito Maddox,11.2
Mark Madsen,8.1
Corey Maggette,17.9
Jamaal Magloire,13.5
Karl Malone*,23.9
Matt Maloney,10.6
Danny Manning,16.9
Stephon Marbury,18.7
Shawn Marion,18.8
Sean Marks,9.1
Donny Marshall,8.7
Donyell Marshall,16.8
Kenyon Martin,15.0
Jamal Mashburn,15.7
Anthony Mason,14.6
Desmond Mason,12.7
Roger Mason,10.9
Tony Massenburg,11.9
Walter McCarty,10.1
Amal McCaskill,7.7
Jelani McCoy,12.6
Tracy McGrady*,22.1
Jeff McInnis,12.6
Aaron McKie,12.8
Stanislav Medvedenko,13.3
Ron Mercer,12.5
Chris Mihm,13.4
Darius Miles,13.9
Andre Miller,17.4
Brad Miller,17.5
Mike Miller,14.3
Reggie Miller*,18.4
Chris Mills,13.3
Yao Ming*,23.0
Cuttino Mobley,14.4
Nazr Mohammed,15.0
Jérôme Moïso,12.1
Mikki Moore,12.5
Terence Morris,9.9
Troy Murphy,15.4
Ronald Murray,12.7
Tracy Murray,14.6
Dikembe Mutombo*,17.2
Mamadou N'Diaye,13.3
Boštjan Nachbar,11.5
Lee Nailon,14.0
Eduardo Nájera,12.0
Steve Nash*,20.0
Rasho Nesterović,13.3
Ira Newble,9.6
Moochie Norris,13.0
Dirk Nowitzki,22.4
Jermaine O'Neal,17.9
Shaquille O'Neal*,26.4
Charles Oakley,13.4
Lamar Odom,16.5
Mehmet Okur,17.1
Dean Oliver,8.1
Kevin Ollie,10.9
Michael Olowokandi,10.7
Greg Ostertag,13.1
Bo Outlaw,14.2
Chris Owens,20.1
Olumide Oyedeji,10.5
Robert Pack,15.0
Scott Padgett,12.9
Milt Palacio,9.9
Jannero Pargo,11.8
Smush Parker,11.7
Tony Parker,18.2
Cherokee Parks,12.0
Ruben Patterson,17.1
Gary Payton*,18.9
Anthony Peeler,12.9
Wesley Person,14.1
Morris Peterson,13.3
Eric Piatkowski,14.0
Paul Pierce*,19.7
Scottie Pippen*,18.6
Scot Pollard,13.8
James Posey,12.4
Lavor Postell,8.9
Vitaly Potapenko,11.8
Tayshaun Prince,13.7
Joel Przybilla,12.0
Vladimir Radmanović,12.7
Igor Rakočević,8.4
Zach Randolph,19.3
Theo Ratliff,14.3
Željko Rebrača,14.1
Michael Redd,19.5
Don Reid,11.8
Efthimios Rentzias,10.6
Glen Rice,16.2
Jason Richardson,16.3
Quentin Richardson,12.9
Antoine Rigaudeau,-2.4
Clifford Robinson,14.5
David Robinson*,26.2
Eddie Robinson,14.0
Glenn Robinson,17.5
Rodney Rogers,14.4
Sean Rooks,12.0
Jalen Rose,15.3
Malik Rose,13.4
Guy Rucker,7.8
Kareem Rush,9.2
Bryon Russell,12.6
Arvydas Sabonis*,21.2
John Salmons,12.1
Soumaila Samake,10.0
Jamal Sampson,13.0
Pepe Sánchez,12.3
Jeryl Sasser,8.3
Kenny Satterfield,8.3
Predrag Savović,6.0
Brian Scalabrine,7.7
