Names,PER,Age,Href,Games,Minutes,Points,Rebounds,Assists,Steals,Blocks,Fgm,Fga,Fta,Fg%,3pm,3pa,3p%,Ftm,Ft%
Jordan Goodwin,14.6,24,/players/g/goodwjo01.html,26,868,300,195,103,52,16,108,290,94,.372,19,81,.235,65,.691
Aaron Gordon,15.7,27,/players/g/gordoaa01.html,38,1187,470,303,75,34,39,189,382,180,.495,16,45,.356,76,.422
Devonte' Graham,13.5,27,/players/g/grahade01.html,29,517,164,43,61,25,0,46,117,76,.393,17,40,.425,55,.724
Jerami Grant,14.0,28,/players/g/grantje01.html,40,572,155,118,18,17,18,54,117,73,.462,6,15,.400,41,.562
RaiQuan Gray,15.5,23,/players/g/grayra01.html,36,441,141,83,27,29,6,50,115,43,.435,10,32,.313,31,.721
A.J. Green,11.5,23,/players/g/greenaj01.html,34,1017,509,103,77,21,2,184,449,81,.410,71,204,.348,70,.864
JaMychal Green,13.8,32,/players/g/greenja01.html,32,795,328,242,24,30,51,126,234,107,.538,0,1,.000,76,.710
Javonte Green,13.7,29,/players/g/greenja02.html,32,705,326,214,18,44,16,126,270,110,.467,6,31,.194,68,.618
Josh Green,11.1,22,/players/g/greenjo02.html,30,926,359,137,78,46,13,122,288,109,.424,30,83,.361,85,.780
AJ Griffin,12.6,19,/players/g/griffaj01.html,39,935,405,153,38,20,22,146,296,53,.493,71,159,.447,42,.792
Quentin Grimes,11.5,22,/players/g/grimequ01.html,36,987,301,89,72,23,6,106,276,58,.384,54,159,.340,35,.603
Rui Hachimura,13.0,24,/players/h/hachiru01.html,28,130,73,38,2,6,4,28,53,24,.528,4,14,.286,13,.542
Tyrese Haliburton,19.2,22,/players/h/halibty01.html,35,1163,239,120,125,54,30,86,167,26,.515,49,113,.434,18,.692
Jordan Hall,5.5,21,/players/h/halljo02.html,20,637,211,117,113,25,1,70,184,50,.380,33,94,.351,38,.760
Tim Hardaway Jr.,13.6,30,/players/h/hardati02.html,35,1074,485,133,59,34,5,159,379,119,.420,76,207,.367,91,.765
Ron Harper Jr.,15.7,22,/players/h/harpero02.html,31,690,242,97,35,18,16,88,213,53,.413,30,108,.278,36,.679
Montrezl Harrell,22.3,29,/players/h/harremo01.html,40,649,226,145,8,20,27,97,168,63,.577,0,0,0,32,.508
Gary Harris,12.3,28,/players/h/harriga01.html,34,1010,439,86,46,45,6,150,329,98,.456,65,158,.411,74,.755
Joe Harris,12.3,31,/players/h/harrijo01.html,31,910,323,135,39,27,11,107,256,58,.418,65,156,.417,44,.759
Kevon Harris,9.2,25,/players/h/harrike01.html,33,734,279,118,34,22,16,85,189,125,.450,21,63,.333,88,.704
Shaquille Harrison,13.3,29,/players/h/harrish01.html,33,889,226,124,94,56,14,72,193,122,.373,4,27,.148,78,.639
Josh Hart,12.8,27,/players/h/hartjo01.html,34,728,265,151,30,19,9,87,174,96,.500,26,83,.313,65,.677
Sam Hauser,12.9,25,/players/h/hausesa01.html,32,847,281,159,42,25,19,97,205,29,.473,63,139,.453,24,.828
Jaxson Hayes,17.7,22,/players/h/hayesja02.html,32,747,320,160,9,19,71,123,169,100,.728,0,0,0,74,.740
Tyler Herro,14.6,23,/players/h/herroty01.html,37,1207,519,166,91,40,12,186,403,93,.462,60,169,.355,87,.935
Buddy Hield,14.7,30,/players/h/hieldbu01.html,27,679,211,113,50,33,7,81,209,36,.388,19,80,.238,30,.833
Malcolm Hill,12.8,27,/players/h/hillma01.html,35,495,154,85,23,10,4,46,120,61,.383,15,44,.341,47,.770
Aaron Holiday,11.0,26,/players/h/holidaa01.html,32,1013,331,96,127,45,8,114,289,88,.394,39,93,.419,64,.727
Richaun Holmes,18.7,29,/players/h/holmeri01.html,32,602,207,159,7,17,73,88,139,50,.633,0,2,.000,31,.620
Talen Horton-Tucker,12.5,22,/players/h/hortota01.html,35,952,414,170,82,45,23,155,382,88,.406,49,159,.308,55,.625
Danuel House Jr.,10.8,29,/players/h/houseda01.html,33,944,409,163,61,31,8,127,291,174,.436,30,95,.316,125,.718
Caleb Houstan,6.2,20,/players/h/houstca01.html,34,1088,343,135,46,25,8,109,284,83,.384,60,169,.355,65,.783
Kevin Huerter,12.2,24,/players/h/huertke01.html,33,971,307,163,88,32,23,111,264,28,.420,65,175,.371,20,.714
Jay Huff,18.6,24,/players/h/huffja01.html,12,106,41,23,4,1,14,17,25,8,.680,2,7,.286,5,.625
De'Andre Hunter,10.8,25,/players/h/huntede01.html,33,657,303,117,36,19,13,104,213,98,.488,21,55,.382,74,.755
Bones Hyland,14.6,22,/players/h/hylanbo01.html,31,638,279,68,57,26,10,100,231,24,.433,63,145,.434,16,.667
Brandon Ingram,15.8,25,/players/i/ingrabr01.html,36,1246,624,244,72,41,49,214,484,170,.442,80,195,.410,116,.682
Jonathan Isaac,13.9,25,/players/i/isaacjo01.html,32,839,383,251,37,37,49,130,256,118,.508,31,89,.348,92,.780
Jaden Ivey,12.1,20,/players/i/iveyja01.html,23,557,256,76,43,17,16,89,223,73,.399,25,97,.258,53,.726
Frank Jackson,10.4,24,/players/j/jacksfr01.html,36,895,394,90,61,20,2,133,281,102,.473,51,129,.395,77,.755
Isaiah Jackson,18.5,21,/players/j/jacksis01.html,25,519,211,165,18,19,65,74,137,90,.540,0,2,.000,63,.700
Jaren Jackson Jr.,17.9,23,/players/j/jacksja02.html,35,764,382,203,39,21,106,119,232,133,.513,38,96,.396,106,.797
Justin Jackson,10.0,27,/players/j/jacksju01.html,38,1014,408,139,88,20,19,157,329,93,.477,28,92,.304,66,.710
Quenton Jackson,12.2,24,/players/j/jacksqu01.html,29,684,256,85,45,36,6,71,194,125,.366,19,78,.244,95,.760
Ty Jerome,11.9,25,/players/j/jeromty01.html,34,473,147,55,50,15,2,52,110,18,.473,29,73,.397,14,.778
Isaiah Joe,11.9,23,/players/j/joeis01.html,34,1024,471,94,58,51,5,148,358,82,.413,113,273,.414,62,.756
Cameron Johnson,14.2,26,/players/j/johnsca02.html,8,115,36,9,4,1,3,13,33,4,.394,8,23,.348,2,.500
Jalen Johnson,13.8,21,/players/j/johnsja05.html,13,278,146,79,29,15,16,57,109,38,.523,8,18,.444,24,.632
Keldon Johnson,15.0,23,/players/j/johnske04.html,37,1137,498,217,60,28,6,172,373,155,.461,45,118,.381,109,.703
Keon Johnson,8.8,20,/players/j/johnske07.html,27,688,306,95,67,30,12,111,247,101,.449,13,48,.271,71,.703
Stanley Johnson,9.2,26,/players/j/johnsst04.html,38,1081,523,247,63,57,15,174,390,178,.446,43,116,.371,132,.742
Carlik Jones,7.4,25,/players/j/jonesca03.html,36,1094,423,142,113,40,8,144,349,129,.413,36,118,.305,99,.767
Damian Jones,15.3,27,/players/j/jonesda03.html,31,798,349,176,7,9,43,138,254,134,.543,0,0,0,73,.545
Derrick Jones Jr.,13.3,25,/players/j/jonesde02.html,30,646,345,134,24,27,40,129,219,133,.589,8,39,.205,79,.594
Herbert Jones,12.2,24,/players/j/joneshe01.html,35,741,147,122,48,44,22,58,142,48,.408,7,26,.269,24,.500
Kai Jones,10.6,22,/players/j/joneska01.html,27,450,97,87,10,14,30,38,76,22,.500,7,24,.292,14,.636
Tre Jones,15.3,23,/players/j/jonestr01.html,36,1230,338,135,192,68,6,132,319,62,.414,27,103,.262,47,.758
Tyus Jones,14.9,26,/players/j/jonesty01.html,39,1322,461,137,217,59,3,135,324,162,.417,47,124,.379,144,.889
Johnny Juzang,6.5,21,/players/j/juzanjo01.html,28,344,82,54,9,5,2,29,77,12,.377,14,43,.326,10,.833
Mfiondu Kabengele,10.9,25,/players/k/kabenmf01.html,34,503,245,158,10,15,29,85,173,99,.491,10,26,.385,65,.657
Frank Kaminsky,14.2,29,/players/k/kaminfr01.html,35,271,63,50,10,4,13,23,56,14,.411,10,35,.286,7,.500
Trevor Keels,3.7,19,/players/k/keelstr01.html,36,1087,413,124,98,44,2,147,351,97,.419,54,173,.312,65,.670
Luke Kennard,12.8,26,/players/k/kennalu01.html,36,961,425,129,55,34,6,141,335,99,.421,55,172,.320,88,.889
Walker Kessler,21.5,21,/players/k/kesslwa01.html,29,254,127,94,9,15,25,52,90,41,.578,1,4,.250,22,.537
Braxton Key,13.9,25,/players/k/keybr01.html,34,1012,407,193,86,21,21,139,321,153,.433,32,97,.330,97,.634
Louis King,13.0,23,/players/k/kinglo02.html,31,943,417,171,40,27,7,148,340,79,.435,59,153,.386,62,.785
Corey Kispert,11.2,23,/players/k/kispeco01.html,35,680,236,111,26,10,6,86,187,36,.460,40,114,.351,24,.667
Nathan Knight,15.6,25,/players/k/knighna01.html,31,534,254,135,33,12,41,96,166,101,.578,2,12,.167,60,.594
Kevin Knox,9.2,23,/players/k/knoxke01.html,37,1198,576,200,53,31,10,196,440,164,.445,57,167,.341,127,.774
Christian Koloko,11.4,22,/players/k/kolokch01.html,28,233,63,67,5,9,25,28,58,20,.483,0,1,.000,7,.350
John Konchar,13.0,26,/players/k/konchjo01.html,34,1211,441,312,92,71,9,163,279,119,.584,29,66,.439,86,.723
Luke Kornet,14.7,27,/players/k/kornelu01.html,30,461,119,68,23,9,17,45,131,15,.344,21,89,.236,8,.533
Kyle Kuzma,13.9,27,/players/k/kuzmaky01.html,31,252,103,55,19,1,5,36,79,36,.456,11,34,.324,20,.556
Anthony Lamb,10.3,25,/players/l/lamban01.html,35,787,447,192,24,27,43,171,334,106,.512,26,63,.413,79,.745
Jock Landale,16.3,27,/players/l/landajo01.html,21,105,45,19,2,0,5,19,31,13,.613,0,0,0,7,.538
Romeo Langford,8.5,23,/players/l/langfro01.html,32,1090,528,172,75,25,26,177,395,194,.448,34,125,.272,140,.722
Jake LaRavia,6.7,21,/players/l/laravja01.html,30,739,283,176,47,16,35,111,210,80,.529,11,27,.407,50,.625
Zach LaVine,17.4,27,/players/l/lavinza01.html,37,904,349,94,66,33,6,127,288,68,.441,48,128,.375,47,.691
A.J. Lawson,13.9,22,/players/l/lawsoaj01.html,29,868,388,125,83,32,7,130,316,120,.411,48,134,.358,80,.667
Damion Lee,11.6,30,/players/l/leeda03.html,36,1042,432,157,62,30,12,142,313,110,.454,63,168,.375,85,.773
Saben Lee,13.7,23,/players/l/leesa01.html,32,857,338,95,99,39,5,115,249,117,.462,23,75,.307,85,.726
Alex Len,15.2,29,/players/l/lenal01.html,22,466,131,119,13,4,47,52,94,46,.553,0,1,.000,27,.587
Caris LeVert,14.5,28,/players/l/leverca01.html,33,354,76,36,25,6,2,28,89,14,.315,13,43,.302,7,.500
Kira Lewis Jr.,10.8,21,/players/l/lewiski01.html,34,1075,458,87,98,28,10,157,363,115,.433,54,151,.358,90,.783
Nassir Little,11.5,22,/players/l/littlna01.html,36,656,353,166,24,19,19,131,274,100,.478,14,52,.269,77,.770
Isaiah Livers,9.0,24,/players/l/liveris01.html,40,604,137,93,16,12,11,54,114,12,.474,21,58,.362,8,.667
Kenneth Lofton Jr.,20.2,20,/players/l/loftoke01.html,32,729,389,241,47,33,23,148,261,156,.567,0,0,0,93,.596
Kevon Looney,15.5,26,/players/l/looneke01.html,36,1113,416,331,51,46,32,151,321,147,.470,22,53,.415,92,.626
Trey Lyles,13.7,27,/players/l/lylestr01.html,36,828,313,188,38,19,16,117,240,102,.488,4,29,.138,75,.735
Sandro Mamukelashvili,13.9,23,/players/m/mamuksa01.html,34,325,87,63,16,8,16,32,68,25,.471,8,27,.296,15,.600
Terance Mann,13.3,26,/players/m/mannte01.html,34,577,177,126,30,21,7,73,125,59,.584,4,13,.308,27,.458
Tre Mann,10.1,21,/players/m/manntr01.html,29,516,155,55,20,17,2,57,160,29,.356,22,80,.275,19,.655
Lauri Markkanen,16.8,25,/players/m/markkla01.html,37,1140,576,266,32,15,19,185,376,164,.492,69,163,.423,137,.835
Naji Marshall,11.6,25,/players/m/marshna01.html,35,764,271,154,57,23,10,96,181,85,.530,15,43,.349,64,.753
Caleb Martin,12.1,27,/players/m/martica02.html,36,598,172,103,26,11,12,53,149,59,.356,25,82,.305,41,.695
Cody Martin,11.5,27,/players/m/martico01.html,19,216,65,38,23,9,6,28,59,17,.475,0,7,.000,9,.529
Tyrese Martin,7.7,23,/players/m/martity01.html,33,892,266,172,33,27,9,99,237,54,.418,33,106,.311,35,.648
Garrison Mathews,10.5,26,/players/m/mathega01.html,33,687,361,111,51,28,8,118,293,82,.403,65,186,.349,60,.732
Bennedict Mathurin,13.1,20,/players/m/mathube01.html,26,650,280,124,30,18,2,88,187,78,.471,38,91,.418,66,.846
Tyrese Maxey,16.2,22,/players/m/maxeyty01.html,31,1069,433,133,99,27,12,150,351,120,.427,33,113,.292,100,.833
Skylar Mays,15.9,25,/players/m/mayssk01.html,31,711,256,69,113,40,2,83,202,85,.411,21,64,.328,69,.812
Miles McBride,7.6,22,/players/m/mcbrimi01.html,31,688,296,73,56,35,15,102,254,91,.402,24,79,.304,68,.747
Mac McClung,14.0,24,/players/m/mccluma01.html,29,767,380,76,58,24,4,127,324,109,.392,39,141,.277,87,.798
CJ McCollum,17.4,31,/players/m/mccolcj01.html,33,1052,631,165,79,43,7,203,442,189,.459,72,171,.421,153,.810
T.J. McConnell,14.8,30,/players/m/mccontj01.html,32,979,344,121,140,91,5,132,265,60,.498,39,97,.402,41,.683
Jaden McDaniels,10.7,22,/players/m/mcdanja02.html,31,963,402,180,65,24,43,136,336,114,.405,43,127,.339,87,.763
Jalen McDaniels,11.8,25,/players/m/mcdanja01.html,33,815,345,248,29,27,19,126,215,113,.586,4,19,.211,89,.788
Doug McDermott,11.9,31,/players/m/mcderdo01.html,39,1133,581,280,45,11,4,220,419,126,.525,47,116,.405,94,.746
Bryce McGowens,7.2,20,/players/m/mcgowbr01.html,31,1032,522,161,43,22,10,160,397,195,.403,40,146,.274,162,.831
Rodney McGruder,9.6,31,/players/m/mcgruro01.html,33,406,128,91,17,10,10,46,93,25,.495,18,43,.419,18,.720
Jordan McLaughlin,13.2,26,/players/m/mclaujo01.html,22,696,266,66,100,33,5,89,253,92,.352,28,103,.272,60,.652
De'Anthony Melton,13.4,24,/players/m/meltode01.html,36,972,300,170,125,69,37,101,231,109,.437,21,74,.284,77,.706
Sam Merrill,11.8,26,/players/m/merrisa01.html,30,802,282,94,98,29,5,100,222,41,.450,46,102,.451,36,.878
Chimezie Metu,14.5,25,/players/m/metuch01.html,34,628,217,123,18,19,54,88,170,80,.518,0,1,.000,41,.513
Shake Milton,13.1,26,/players/m/miltosh01.html,30,980,315,89,82,24,8,113,237,51,.477,52,122,.426,37,.725
Justin Minaya,4.0,23,/players/m/minayju01.html,32,860,254,134,47,20,8,90,231,51,.390,39,107,.364,35,.686
Josh Minott,17.9,20,/players/m/minotjo01.html,33,483,217,124,31,27,22,83,159,65,.522,2,14,.143,49,.754
Davion Mitchell,10.2,24,/players/m/mitchda01.html,34,582,126,39,63,18,1,45,105,31,.429,15,52,.288,21,.677
Donovan Mitchell,19.6,26,/players/m/mitchdo01.html,31,591,229,104,52,25,3,84,190,57,.442,18,72,.250,43,.754
Evan Mobley,17.1,21,/players/m/mobleev01.html,33,1120,540,286,79,26,95,197,341,193,.578,12,40,.300,134,.694
Isaiah Mobley,14.1,23,/players/m/mobleis01.html,31,630,191,164,30,20,20,73,154,71,.474,8,28,.286,37,.521
Chima Moneke,-3.5,27,/players/m/monekch01.html,36,981,526,341,29,32,51,192,364,220,.527,0,0,0,142,.645
Malik Monk,13.7,24,/players/m/monkma01.html,38,1218,754,95,87,36,19,251,558,180,.450,104,262,.397,148,.822
Moses Moody,10.4,20,/players/m/moodymo01.html,32,1082,539,184,51,33,21,165,386,186,.427,58,162,.358,151,.812
Xavier Moon,15.1,28,/players/m/moonxa01.html,37,897,376,95,68,35,4,135,284,78,.475,47,114,.412,59,.756
Wendell Moore Jr.,9.3,21,/players/m/moorewe01.html,25,600,186,106,47,22,6,64,154,67,.416,4,19,.211,54,.806
Ja Morant,20.3,23,/players/m/moranja01.html,32,1088,405,208,201,30,13,133,290,139,.459,27,88,.307,112,.806
Monte Morris,15.1,27,/players/m/morrimo01.html,36,1013,243,92,134,46,7,77,179,72,.430,28,69,.406,61,.847
Trey Murphy III,14.5,22,/players/m/murphtr02.html,32,660,269,82,22,15,16,84,190,51,.442,64,152,.421,37,.725
Dejounte Murray,17.4,26,/players/m/murrade01.html,34,1139,548,203,151,62,10,202,486,166,.416,34,118,.288,110,.663
Jamal Murray,16.4,25,/players/m/murraja01.html,36,1267,720,186,79,35,11,244,538,152,.454,113,277,.408,119,.783
Keegan Murray,12.3,22,/players/m/murrake02.html,31,558,224,158,17,26,39,84,166,53,.506,16,54,.296,40,.755
Mike Muscala,14.0,31,/players/m/muscami01.html,30,745,296,148,23,9,65,116,251,72,.462,6,20,.300,58,.806
Svi Mykhailiuk,10.4,25,/players/m/mykhasv01.html,26,291,72,31,17,8,1,26,85,6,.306,15,52,.288,5,.833
Larry Nance Jr.,16.4,30,/players/n/nancela02.html,33,590,136,131,13,25,19,49,106,43,.462,3,9,.333,35,.814
Andrew Nembhard,10.0,23,/players/n/nembhan01.html,36,1184,289,103,194,44,2,106,256,55,.414,35,101,.347,42,.764
Aaron Nesmith,9.6,23,/players/n/nesmiaa01.html,32,928,353,177,45,23,18,114,291,80,.392,59,175,.337,66,.825
Georges Niang,11.0,29,/players/n/niangge01.html,35,878,422,160,64,23,8,157,305,100,.515,38,97,.392,70,.700
Zeke Nnaji,12.6,22,/players/n/nnajize01.html,32,981,515,276,27,23,28,179,314,200,.570,5,17,.294,152,.760
Nerlens Noel,16.5,28,/players/n/noelne01.html,24,765,251,227,38,50,106,98,166,104,.590,0,0,0,55,.529
Jaylen Nowell,14.2,23,/players/n/nowelja01.html,34,1106,545,135,92,36,9,203,450,125,.451,39,111,.351,100,.800
Kendrick Nunn,13.0,27,/players/n/nunnke01.html,35,682,218,58,39,21,5,83,182,26,.456,31,80,.388,21,.808
Jordan Nwora,11.6,24,/players/n/nworajo01.html,28,336,159,62,11,17,3,52,112,39,.464,25,57,.439,30,.769
Royce O'Neale,9.7,29,/players/o/onealro01.html,31,836,308,181,66,43,13,98,192,96,.510,29,75,.387,83,.865
Chuma Okeke,11.5,24,/players/o/okekech01.html,34,734,255,197,38,23,25,92,201,55,.458,34,87,.391,37,.673
Josh Okogie,10.6,24,/players/o/okogijo01.html,37,1141,596,201,61,48,27,194,428,241,.453,28,73,.384,180,.747
Onyeka Okongwu,19.1,22,/players/o/okongon01.html,28,858,454,242,30,34,76,175,284,143,.616,1,4,.250,103,.720
Isaac Okoro,9.5,22,/players/o/okorois01.html,28,881,360,124,57,26,25,125,243,134,.514,20,70,.286,90,.672
KZ Okpala,7.0,23,/players/o/okpalkz01.html,23,655,231,86,41,23,13,75,191,109,.393,7,31,.226,74,.679
Victor Oladipo,16.0,30,/players/o/oladivi01.html,32,576,236,119,28,34,7,88,161,85,.547,8,26,.308,52,.612
Kelly Olynyk,15.6,31,/players/o/olynyke01.html,34,419,130,93,26,18,5,49,98,47,.500,4,18,.222,28,.596
Eugene Omoruyi,11.1,25,/players/o/omorueu01.html,33,395,78,73,34,15,9,29,83,32,.349,0,11,.000,20,.625
Kelly Oubre Jr.,13.2,27,/players/o/oubreke01.html,36,756,333,179,28,41,13,110,248,110,.444,34,95,.358,79,.718
Cameron Payne,13.4,28,/players/p/payneca01.html,34,1111,572,123,185,57,20,190,470,155,.404,72,211,.341,120,.774
Gary Payton II,15.0,30,/players/p/paytoga02.html,31,1125,416,231,98,95,37,162,334,98,.485,27,92,.293,65,.663
Theo Pinson,7.7,27,/players/p/pinsoth01.html,24,300,68,72,37,14,5,25,68,18,.368,7,26,.269,11,.611
Scotty Pippen Jr.,9.6,22,/players/p/pippesc02.html,32,952,384,88,114,35,4,108,275,189,.393,34,94,.362,134,.709
Mason Plumlee,17.8,32,/players/p/plumlma01.html,34,480,125,105,30,18,30,49,106,46,.462,2,8,.250,25,.543
Jakob Poeltl,18.9,27,/players/p/poeltja01.html,34,792,311,230,23,12,63,128,188,124,.681,0,1,.000,55,.444
Jordan Poole,13.8,23,/players/p/poolejo01.html,38,476,233,53,22,20,6,75,175,52,.429,40,108,.370,43,.827
Kevin Porter Jr.,13.8,22,/players/p/porteke02.html,21,464,200,84,30,17,11,74,157,46,.471,28,68,.412,24,.522
Michael Porter Jr.,18.3,24,/players/p/portemi01.html,3,53,30,20,1,3,1,10,30,9,.333,3,10,.300,7,.778
Otto Porter Jr.,15.6,29,/players/p/porteot01.html,33,980,321,225,51,37,27,125,238,84,.525,12,53,.226,59,.702
Bobby Portis,17.1,27,/players/p/portibo01.html,34,918,418,230,50,35,54,161,316,118,.509,9,33,.273,87,.737
Micah Potter,16.8,24,/players/p/pottemi01.html,30,422,124,92,8,8,11,43,99,35,.434,17,51,.333,21,.600
Dwight Powell,17.6,31,/players/p/poweldw01.html,31,756,252,160,30,24,28,88,187,101,.471,7,25,.280,69,.683
Norman Powell,14.9,29,/players/p/powelno01.html,33,586,151,74,39,16,9,58,154,15,.377,26,75,.347,9,.600
Jason Preston,10.3,23,/players/p/prestja01.html,30,886,180,107,103,25,3,72,166,34,.434,10,48,.208,26,.765
Joshua Primo,7.1,20,/players/p/primojo01.html,30,674,244,101,25,17,9,84,195,44,.431,43,113,.381,33,.750
Taurean Prince,11.3,28,/players/p/princta02.html,24,154,88,52,3,9,2,35,60,22,.583,2,6,.333,16,.727
Payton Pritchard,12.8,25,/players/p/pritcpa01.html,39,1105,288,131,141,45,3,96,244,63,.393,50,143,.350,46,.730
Trevelin Queen,12.3,25,/players/q/queentr01.html,25,381,194,72,42,25,19,75,158,26,.475,28,80,.350,16,.615
Neemias Queta,13.6,23,/players/q/quetane01.html,35,947,414,311,57,23,84,167,272,138,.614,2,5,.400,78,.565
Immanuel Quickley,15.6,23,/players/q/quickim01.html,37,683,193,65,44,16,1,55,148,64,.372,30,87,.345,53,.828
Lester Quinones,8.6,22,/players/q/quinole01.html,26,766,278,99,57,20,3,78,194,107,.402,36,115,.313,86,.804
Julius Randle,18.1,28,/players/r/randlju01.html,40,1233,599,416,57,20,31,196,391,289,.501,3,18,.167,204,.706
Austin Reaves,13.5,24,/players/r/reaveau01.html,33,390,134,59,37,12,10,39,87,37,.448,28,55,.509,28,.757
Cam Reddish,10.3,23,/players/r/reddica01.html,36,1069,485,133,70,56,21,154,432,114,.356,89,267,.333,88,.772
Davon Reed,9.1,27,/players/r/reedda01.html,33,683,217,55,38,16,4,71,207,52,.343,40,112,.357,35,.673
Paul Reed,20.0,23,/players/r/reedpa01.html,28,276,100,86,10,15,13,43,83,19,.518,3,14,.214,11,.579
Naz Reid,17.7,23,/players/r/reidna01.html,34,926,463,245,29,25,23,171,365,128,.468,28,84,.333,93,.727
Jared Rhoden,6.5,23,/players/r/rhodeja01.html,34,436,114,89,12,18,9,39,114,37,.342,15,61,.246,21,.568
Nick Richards,17.3,25,/players/r/richani01.html,37,543,189,163,9,3,33,69,112,71,.616,0,0,0,51,.718
Josh Richardson,12.5,29,/players/r/richajo01.html,34,543,97,47,24,18,19,36,102,25,.353,9,38,.237,16,.640
Duncan Robinson,11.1,28,/players/r/robindu01.html,36,1040,402,126,65,23,8,134,293,44,.457,95,211,.450,39,.886
Orlando Robinson,13.4,22,/players/r/robinor01.html,30,818,365,198,47,25,29,127,258,139,.492,13,52,.250,98,.705
Jeremiah Robinson-Earl,12.2,22,/players/r/robinje02.html,31,1013,326,290,60,35,17,113,249,97,.454,21,64,.328,79,.814
Isaiah Roby,13.5,24,/players/r/robyis01.html,30,457,94,88,22,16,25,37,94,21,.394,4,20,.200,16,.762
David Roddy,8.8,21,/players/r/roddyda01.html,32,820,365,178,57,20,24,131,282,119,.465,15,77,.195,88,.739
Ryan Rollins,-1.4,20,/players/r/rolliry01.html,30,907,410,156,76,33,4,146,339,98,.431,41,127,.323,77,.786
Derrick Rose,18.1,34,/players/r/rosede01.html,40,1168,597,181,189,48,15,208,436,205,.477,35,104,.337,146,.712
Terry Rozier,14.9,28,/players/r/roziete01.html,37,699,259,114,67,38,2,93,232,52,.401,36,97,.371,37,.712
D'Angelo Russell,16.5,26,/players/r/russeda01.html,35,1188,675,198,175,55,11,231,515,156,.449,95,231,.411,118,.756
Matt Ryan,8.0,25,/players/r/ryanma01.html,36,521,185,60,18,9,3,60,144,24,.417,46,123,.374,19,.792
Domantas Sabonis,19.6,26,/players/s/sabondo01.html,38,822,369,268,33,17,12,145,217,119,.668,0,0,0,79,.664
Olivier Sarr,13.5,23,/players/s/sarrol01.html,30,453,97,89,11,10,21,32,92,45,.348,6,24,.250,27,.600
Jordan Schakel,3.0,24,/players/s/schakjo01.html,33,455,106,68,19,12,3,33,100,19,.330,27,78,.346,13,.684
Admiral Schofield,8.0,25,/players/s/schofad01.html,32,598,244,129,29,12,10,92,207,39,.444,25,83,.301,35,.897
Dereon Seabron,4.6,22,/players/s/seabrde01.html,24,408,124,83,19,16,7,50,103,33,.485,5,20,.250,19,.576
Collin Sexton,15.2,24,/players/s/sextoco01.html,33,987,632,124,119,28,3,196,438,252,.447,44,131,.336,196,.778
Landry Shamet,10.1,25,/players/s/shamela01.html,3,53,26,8,5,5,1,7,16,12,.438,3,10,.300,9,.750
Day'Ron Sharpe,19.0,21,/players/s/sharpda01.html,29,556,275,219,42,23,26,112,216,101,.519,0,2,.000,51,.505
Pascal Siakam,18.1,28,/players/s/siakapa01.html,34,1048,436,262,45,28,61,166,290,137,.572,0,2,.000,104,.759
Chris Silva,15.2,26,/players/s/silvach01.html,32,425,173,143,6,14,28,53,110,110,.482,0,0,0,67,.609
Ben Simmons,19.1,26,/players/s/simmobe01.html,33,1151,632,388,158,65,27,216,386,297,.560,1,3,.333,199,.670
Kobi Simmons,7.7,25,/players/s/simmoko01.html,37,871,323,60,73,24,3,111,281,89,.395,32,98,.327,69,.775
Jericho Sims,12.9,24,/players/s/simsje01.html,34,628,171,133,7,11,18,71,117,68,.607,0,1,.000,29,.426
Marcus Smart,12.4,28,/players/s/smartma01.html,33,1106,507,192,139,99,22,151,374,215,.404,38,131,.290,167,.777
Dennis Smith Jr.,12.1,25,/players/s/smithde03.html,32,1114,580,146,197,62,14,191,420,200,.455,55,153,.359,143,.715
Dru Smith,11.4,25,/players/s/smithdr01.html,28,630,149,74,81,23,12,53,119,33,.445,16,49,.327,27,.818
Jabari Smith Jr.,11.2,19,/players/s/smithja05.html,34,978,576,252,68,37,35,183,427,164,.429,79,188,.420,131,.799
Jalen Smith,16.4,22,/players/s/smithja04.html,33,880,386,225,29,14,40,145,295,117,.492,19,71,.268,77,.658
Xavier Sneed,5.4,25,/players/s/sneedxa01.html,35,639,247,90,22,33,7,78,182,73,.429,38,112,.339,53,.726
Jeremy Sochan,11.4,19,/players/s/sochaje01.html,30,754,277,191,53,38,21,100,211,90,.474,24,81,.296,53,.589
Jaden Springer,17.8,20,/players/s/sprinja01.html,25,648,313,88,73,30,11,106,227,100,.467,20,46,.435,81,.810
Lamar Stevens,10.4,25,/players/s/stevela01.html,33,918,419,183,55,27,21,148,345,146,.429,11,32,.344,112,.767
Isaiah Stewart,14.5,21,/players/s/stewais01.html,32,1031,543,281,27,17,66,192,337,199,.570,5,20,.250,154,.774
Max Strus,11.6,26,/players/s/strusma01.html,31,1104,521,175,85,40,16,171,419,122,.408,81,243,.333,98,.803
Jalen Suggs,10.5,21,/players/s/suggsja01.html,30,868,431,160,136,57,10,155,308,114,.503,35,104,.337,86,.754
Edmond Sumner,12.1,27,/players/s/sumneed01.html,6,43,8,5,6,2,0,2,10,6,.200,0,3,.000,4,.667
Cole Swider,7.4,23,/players/s/swideco01.html,21,201,73,26,12,3,1,24,64,19,.375,13,46,.283,12,.632
Jae'Sean Tate,13.8,27,/players/t/tateja01.html,35,771,308,175,12,31,21,126,214,102,.589,3,19,.158,53,.520
