Names,PER,Age,Href,Games,Minutes,Points,Rebounds,Assists,Steals,Blocks,Fgm,Fga,Fta,Fg%,3pm,3pa,3p%,Ftm,Ft%
Brandan Wright,20.3,25,/players/w/wrighbr03.html,37,1013,545,229,37,36,65,228,353,157,.646,0,0,0,89,.567
Chris Wright,-1.9,23,/players/w/wrighch02.html,16,277,91,39,34,14,1,34,70,23,.486,11,23,.478,12,.522
Tony Wroten,12.6,19,/players/w/wroteto01.html,35,1062,559,176,130,66,13,198,447,264,.443,9,56,.161,154,.583
Nick Young,12.9,27,/players/y/youngni01.html,29,746,321,118,38,22,9,123,279,73,.441,28,89,.315,47,.644
Sam Young,11.5,27,/players/y/youngsa01.html,33,672,261,144,28,22,20,98,188,88,.521,4,21,.190,61,.693
Thaddeus Young,16.4,24,/players/y/youngth01.html,31,917,445,151,63,39,12,177,370,70,.478,39,93,.419,52,.743
Luke Zeller,5.6,25,/players/z/zellelu01.html,27,371,92,85,28,3,7,32,88,17,.364,20,59,.339,8,.471
Tyler Zeller,14.9,23,/players/z/zellety01.html,15,117,47,30,3,3,3,17,36,17,.472,0,0,0,13,.765
Precious Achiuwa,13.8,23,/players/a/achiupr01.html,31,943,489,334,30,34,58,182,369,187,.493,13,40,.325,112,.599
Steven Adams,17.1,29,/players/a/adamsst01.html,32,749,231,203,20,21,65,100,175,70,.571,0,0,0,31,.443
Bam Adebayo,20.0,25,/players/a/adebaba01.html,38,1145,494,304,32,26,57,170,284,236,.599,0,0,0,154,.653
Ochai Agbaji,9.5,22,/players/a/agbajoc01.html,22,569,188,101,20,10,12,70,156,36,.449,23,75,.307,25,.694
Santi Aldama,13.3,22,/players/a/aldamsa01.html,10,304,152,76,21,9,17,61,133,33,.459,13,60,.217,17,.515
Nickeil Alexander-Walker,11.0,24,/players/a/alexani01.html,33,839,352,127,49,28,18,124,276,63,.449,58,148,.392,46,.730
Grayson Allen,12.2,27,/players/a/allengr01.html,35,322,153,35,14,10,5,45,106,53,.425,18,52,.346,45,.849
Jarrett Allen,20.0,24,/players/a/allenja01.html,33,1061,442,278,27,19,51,179,316,149,.566,0,7,.000,84,.564
Jose Alvarado,13.6,24,/players/a/alvarjo01.html,25,874,303,93,77,43,2,99,221,81,.448,40,108,.370,65,.802
Kyle Anderson,14.3,29,/players/a/anderky01.html,35,1046,338,302,122,62,31,122,293,117,.416,8,38,.211,86,.735
Cole Anthony,13.9,22,/players/a/anthoco01.html,22,768,407,125,88,29,6,131,345,128,.380,49,141,.348,96,.750
OG Anunoby,13.2,25,/players/a/anunoog01.html,34,466,165,90,18,27,26,66,116,42,.569,13,29,.448,20,.476
Ryan Arcidiacono,9.9,28,/players/a/arcidry01.html,34,1156,405,72,119,38,0,106,309,148,.343,71,217,.327,122,.824
Deandre Ayton,20.5,24,/players/a/aytonde01.html,35,1172,704,405,57,20,66,276,451,191,.612,12,35,.343,140,.733
Udoka Azubuike,16.0,23,/players/a/azubuud01.html,11,142,55,48,2,2,18,22,35,29,.629,0,0,0,11,.379
Marvin Bagley III,17.1,23,/players/b/baglema01.html,33,1118,694,366,50,27,29,270,440,209,.614,23,58,.397,131,.627
Patrick Baldwin Jr.,11.3,20,/players/b/baldwpa01.html,11,314,133,64,17,9,9,45,131,35,.344,17,64,.266,26,.743
Mo Bamba,16.7,24,/players/b/bambamo01.html,30,906,387,316,15,23,111,146,270,119,.541,14,51,.275,81,.681
Paolo Banchero,14.9,20,/players/b/banchpa01.html,39,1286,671,304,124,41,36,245,513,188,.478,44,130,.338,137,.729
Desmond Bane,16.6,24,/players/b/banede01.html,39,807,277,113,38,12,9,102,198,56,.515,30,79,.380,43,.768
Dalano Banton,11.4,23,/players/b/bantoda01.html,31,469,105,92,65,14,16,39,97,34,.402,8,37,.216,19,.559
Scottie Barnes,15.9,21,/players/b/barnesc01.html,24,595,248,96,98,35,11,98,195,66,.503,11,40,.275,41,.621
RJ Barrett,12.8,22,/players/b/barrerj01.html,38,1341,860,288,164,34,16,319,702,224,.454,73,237,.308,149,.665
Charles Bassey,19.5,22,/players/b/bassech01.html,34,1067,495,340,24,27,81,188,300,143,.627,9,20,.450,110,.769
Keita Bates-Diop,12.9,27,/players/b/bateske01.html,33,327,125,68,17,11,19,44,93,28,.473,18,39,.462,19,.679
Malik Beasley,12.4,26,/players/b/beaslma01.html,34,1014,529,180,51,32,6,185,393,128,.471,55,142,.387,104,.813
Saddiq Bey,13.8,23,/players/b/beysa01.html,36,1064,296,183,46,31,12,109,238,45,.458,49,131,.374,29,.644
