Names,PER
Will Barton,13.9
Brandon Bass,15.3
Shane Battier,12.6
Nicolas Batum,14.4
Jerryd Bayless,12.2
Aron Baynes,13.7
Kent Bazemore,11.4
Bradley Beal,18.4
Michael Beasley,15.6
Rodrigue Beaubois,14.5
Marco Belinelli,12.2
Patrick Beverley,12.3
Andris Biedriņš,15.3
Chauncey Billups,18.8
Bismack Biyombo,13.2
DeJuan Blair,16.5
Steve Blake,11.1
Andray Blatche,16.8
Eric Bledsoe,17.0
Keith Bogans,9.6
Andrew Bogut,16.4
Matt Bonner,13.6
Trevor Booker,15.0
Carlos Boozer,19.5
Chris Bosh*,20.6
Avery Bradley,10.7
Elton Brand,20.5
Corey Brewer,11.8
Ronnie Brewer,14.4
Aaron Brooks,13.3
MarShon Brooks,13.9
Kwame Brown,12.5
Shannon Brown,12.4
Kobe Bryant*,22.9
Chase Budinger,13.0
Alec Burks,14.2
Caron Butler,15.0
Jimmy Butler,21.6
Will Bynum,14.6
José Calderón,15.8
Marcus Camby,17.8
DeMarre Carroll,13.3
Matt Carroll,11.6
Vince Carter,18.6
Omri Casspi,13.0
Mario Chalmers,12.7
Tyson Chandler,16.1
Wilson Chandler,12.8
Josh Childress,15.6
Earl Clark,10.2
Victor Claver,7.5
Norris Cole,9.2
Jason Collins,7.0
Darren Collison,16.2
Nick Collison,13.2
Mike Conley,17.4
Will Conroy,-3.1
Daequan Cook,9.1
Chris Copeland,12.4
DeMarcus Cousins,22.0
Jamal Crawford,15.1
Jordan Crawford,14.1
Jae Crowder,12.7
Dante Cunningham,11.1
Jared Cunningham,6.8
Eddy Curry,15.9
Stephen Curry,23.8
Samuel Dalembert,15.4
Marquis Daniels,12.9
Anthony Davis,27.0
Ed Davis,16.4
Glen Davis,12.4
Austin Daye,11.6
Nando De Colo,11.8
Carlos Delfino,12.6
Luol Deng,15.4
Justin Dentmon,3.8
DeMar DeRozan,19.0
Boris Diaw,12.9
DeSagana Diop,9.8
Keyon Dooling,11.5
Toney Douglas,13.2
Chris Douglas-Roberts,11.5
Goran Dragić,16.5
Andre Drummond,21.8
Jared Dudley,12.5
Chris Duhon,10.8
Tim Duncan*,24.2
Mike Dunleavy,13.9
Kevin Durant,25.3
Devin Ebanks,9.6
Wayne Ellington,11.1
Monta Ellis,16.0
Kim English,7.9
Jeremy Evans,17.3
Reggie Evans,11.7
Tyreke Evans,17.1
Festus Ezeli,13.4
Kenneth Faried,19.7
Derrick Favors,18.8
Raymond Felton,13.8
Landry Fields,12.1
Derek Fisher,11.7
Evan Fournier,13.6
Randy Foye,12.0
Jimmer Fredette,12.5
Enes Freedom,20.8
Joel Freeland,11.1
Danilo Gallinari,16.9
Francisco García,12.3
Kevin Garnett*,22.7
Diante Garrett,7.3
Marc Gasol,18.0
Pau Gasol,21.4
Rudy Gay,16.3
Alonzo Gee,10.7
Mickaël Gelabale,10.5
Paul George,19.4
Daniel Gibson,10.8
Taj Gibson,15.3
Manu Ginóbili*,20.2
Drew Gooden,16.3
Ben Gordon,14.9
Eric Gordon,14.0
Marcin Gortat,17.1
Andrew Goudelock,8.6
Danny Granger,16.9
Aaron Gray,11.5
Danny Green,12.6
Draymond Green,14.6
Gerald Green,13.0
Jeff Green,13.1
Willie Green,11.0
Blake Griffin,21.0
Hamed Haddadi,13.3
Jordan Hamilton,13.4
Richard Hamilton,16.5
Ben Hansbrough,7.2
Tyler Hansbrough,14.8
James Harden,24.4
Maurice Harkless,11.7
Josh Harrellson,13.4
Al Harrington,14.3
Devin Harris,16.0
Terrel Harris,3.5
Tobias Harris,16.7
Udonis Haslem,12.9
Spencer Hawes,14.0
Chuck Hayes,12.2
Gordon Hayward,17.1
Lazar Hayward,9.0
Brendan Haywood,14.6
Gerald Henderson,13.4
Xavier Henry,9.3
John Henson,17.1
Roy Hibbert,15.5
J.J. Hickson,16.1
Cory Higgins,4.7
Nenê,17.1
George Hill,14.6
Grant Hill*,19.0
Jordan Hill,16.3
Kirk Hinrich,12.8
Jrue Holiday,17.5
Justin Holiday,10.5
Ryan Hollins,11.0
Tyler Honeycutt,8.1
Al Horford,18.2
Dwight Howard,21.3
Josh Howard,16.7
Juwan Howard,14.6
Kris Humphries,15.4
Serge Ibaka,17.1
Andre Iguodala,15.4
Ersan İlyasova,15.4
Kyrie Irving,22.4
Royal Ivey,8.4
Jarrett Jack,14.1
Reggie Jackson,14.9
Stephen Jackson,14.3
Bernard James,13.8
Damion James,8.5
LeBron James,27.2
Mike James,14.0
Antawn Jamison,18.1
Al Jefferson,20.6
Richard Jefferson,14.4
Jared Jeffries,9.6
Charles Jenkins,10.7
John Jenkins,11.7
Brandon Jennings,15.7
Jonas Jerebko,13.2
Amir Johnson,15.8
Chris Johnson,14.3
Chris Johnson,9.7
Ivan Johnson,15.1
James Johnson,13.9
Joe Johnson,15.4
Orlando Johnson,8.5
Wesley Johnson,10.0
Darius Johnson-Odom,-18.4
Dahntay Jones,9.5
DeQuan Jones,8.4
Dominique Jones,11.9
James Jones,11.3
Kevin Jones,11.1
Perry Jones,8.5
Solomon Jones,10.2
Terrence Jones,17.1
DeAndre Jordan,18.4
Cory Joseph,12.1
Kris Joseph,0.6
Chris Kaman,14.9
Jason Kidd*,17.9
Michael Kidd-Gilchrist,13.4
Andrei Kirilenko,18.7
Linas Kleiza,12.4
Brandon Knight,13.7
Kyle Korver,12.8
Kosta Koufos,15.4
Viacheslav Kravtsov,13.6
Doron Lamb,6.3
Jeremy Lamb,15.6
Carl Landry,17.5
Ty Lawson,17.2
Courtney Lee,12.2
David Lee,19.1
Malcolm Lee,9.5
Kawhi Leonard,23.4
Meyers Leonard,12.0
Jon Leuer,14.5
Rashard Lewis,16.8
DeAndre Liggins,7.3
Damian Lillard,22.5
Jeremy Lin,15.3
Shaun Livingston,12.5
Brook Lopez,19.2
Robin Lopez,15.9
Kevin Love,20.9
Kyle Lowry,17.8
John Lucas III,11.8
Scott Machado,13.7
Shelvin Mack,12.3
Corey Maggette,17.9
Ian Mahinmi,13.0
Shawn Marion,18.8
Kendall Marshall,10.7
Cartier Martin,10.1
Kenyon Martin,15.0
Kevin Martin,17.7
Roger Mason,10.9
Wesley Matthews,12.3
Jason Maxiell,13.0
Eric Maynor,10.6
O.J. Mayo,13.4
Luc Mbah a Moute,10.7
JaVale McGee,19.6
Dominic McGuire,9.8
Josh McRoberts,13.2
Jodie Meeks,12.8
Fab Melo,4.9
Khris Middleton,16.7
C.J. Miles,13.1
Darko Miličić,12.3
Andre Miller,17.4
Darius Miller,8.7
Mike Miller,14.3
Quincy Miller,8.4
Patty Mills,13.5
Paul Millsap,18.7
Nazr Mohammed,15.0
Greg Monroe,20.1
E'Twaun Moore,11.4
Darius Morris,7.7
Marcus Morris,13.2
Markieff Morris,13.5
Anthony Morrow,13.2
Donatas Motiejūnas,12.4
Arnett Moultrie,14.1
Timofey Mozgov,14.7
Byron Mullens,12.2
Kevin Murphy,-4.5
Troy Murphy,15.4
Steve Nash*,20.0
Gary Neal,12.6
Jameer Nelson,14.4
Andrew Nicholson,12.2
Joakim Noah,17.6
Steve Novak,12.7
Dirk Nowitzki,22.4
Jermaine O'Neal,17.9
Kyle O'Quinn,17.9
Lamar Odom,16.5
Tim Ohlbrecht,-6.1
Emeka Okafor,17.0
Daniel Orton,11.9
Travis Outlaw,13.1
Zaza Pachulia,14.6
Jannero Pargo,11.8
Jeremy Pargo,8.2
Tony Parker,18.2
Chandler Parsons,14.7
Patrick Patterson,12.5
Chris Paul,24.3
Sasha Pavlović,8.3
Nikola Peković,18.6
Kendrick Perkins,10.7
Johan Petro,10.4
Paul Pierce*,19.7
Mickaël Piétrus,11.6
Dexter Pittman,9.1
Miles Plumlee,13.7
Quincy Pondexter,9.8
A.J. Price,12.2
Ronnie Price,9.1
Pablo Prigioni,12.3
Tayshaun Prince,13.7
Joel Przybilla,12.0
Chris Quinn,12.2
Vladimir Radmanović,12.7
Anthony Randolph,16.5
Shavlik Randolph,12.6
Zach Randolph,19.3
J.J. Redick,14.9
Jason Richardson,16.3
Quentin Richardson,12.9
Luke Ridnour,13.9
Austin Rivers,9.7
Brian Roberts,13.0
Nate Robinson,15.6
Thomas Robinson,14.0
Rajon Rondo,15.8
Terrence Ross,12.4
Brandon Roy,20.0
Ricky Rubio,15.4
Brandon Rush,9.9
Robert Sacre,10.8
John Salmons,12.1
Samardo Samuels,10.8
Larry Sanders,15.4
Luis Scola,16.3
Mike Scott,12.3
Thabo Sefolosha,11.4
Josh Selby,2.7
Kevin Séraphin,12.1
Ramon Sessions,15.9
Tornike Shengelia,5.7
Iman Shumpert,9.7
Alexey Shved,12.8
Henry Sims,15.0
Kyle Singler,9.5
Chris Singleton,8.2
Donald Sloan,11.9
Greg Smith,13.8
Ish Smith,13.1
J.R. Smith,13.9
Jason Smith,12.9
Josh Smith,17.4
Nolan Smith,7.5
Marreese Speights,16.7
Tiago Splitter,17.9
Jerry Stackhouse,16.5
Lance Stephenson,12.2
DeShawn Stevenson,9.9
Greg Stiemsma,11.0
Julyan Stone,9.5
Amar'e Stoudemire,21.8
Rodney Stuckey,14.9
Jared Sullinger,16.2
DaJuan Summers,7.1
Jeff Taylor,8.9
Tyshawn Taylor,5.8
Jeff Teague,16.8
Marquis Teague,4.9
Mirza Teletović,13.0
Sebastian Telfair,10.8
Garrett Temple,9.4
Jason Terry,16.2
Hasheem Thabeet,10.3
Isaiah Thomas,19.6
Kurt Thomas,13.9
Lance Thomas,8.3
Malcolm Thomas,8.4
Tyrus Thomas,14.8
Jason Thompson,13.5
Klay Thompson,16.2
Tristan Thompson,15.5
Marcus Thornton,15.5
Jamaal Tinsley,13.6
Anthony Tolliver,10.9
P.J. Tucker,10.0
Ronny Turiaf,13.8
Hedo Türkoğlu,14.3
Evan Turner,11.9
Jeremy Tyler,11.1
Ekpe Udoh,12.0
Beno Udrih,14.0
Jonas Valančiūnas,20.6
Anderson Varejão,15.6
Jarvis Varnado,11.5
Greivis Vásquez,13.7
Jan Veselý,10.9
Charlie Villanueva,16.0
Nikola Vučević,20.3
Dwyane Wade,23.5
Dion Waiters,12.0
Kemba Walker,19.1
John Wall,19.0
Gerald Wallace,16.3
Rasheed Wallace,17.0
