Names,PER
Ansu Sesay,11.1
Brian Shaw,11.7
Paul Shirley,DNP
Bobby Simmons,12.9
Brian Skinner,12.0
Reggie Slater,13.7
Tamar Slay,6.5
Charles Smith,11.5
Joe Smith,15.4
Steve Smith,16.1
Eric Snow,12.2
Latrell Sprewell,15.1
Jerry Stackhouse,16.5
Vladimir Stepania,12.8
DeShawn Stevenson,9.9
Michael Stewart,10.2
John Stockton*,21.8
Peja Stojaković,17.1
Damon Stoudamire,15.4
Amar'e Stoudemire,21.8
Erick Strickland,12.7
Mark Strickland,14.5
Rod Strickland,18.0
Bruno Šundov,5.4
Bob Sura,14.3
Stromile Swift,16.1
Wally Szczerbiak,16.0
Maurice Taylor,13.1
Jason Terry,16.2
Etan Thomas,14.5
Kenny Thomas,13.9
Kurt Thomas,13.9
Tim Thomas,14.0
Jamaal Tinsley,13.6
Óscar Torres,11.7
Robert Traylor,14.5
Gary Trent,15.9
Jeff Trepagnier,9.5
Cezary Trybański,-3.0
Jake Tsakalidis,11.8
Nikoloz Tskitishvili,5.2
Hedo Türkoğlu,14.3
Nick Van Exel,15.8
Keith Van Horn,16.8
Jacque Vaughn,10.1
Jake Voskuhl,10.8
Dajuan Wagner,9.9
Antoine Walker,16.0
Samaki Walker,12.7
Ben Wallace*,15.5
Gerald Wallace,16.3
Rasheed Wallace,17.0
Charlie Ward,13.8
Earl Watson,12.1
Clarence Weatherspoon,15.6
Chris Webber*,20.9
Bonzi Wells,16.1
Jiří Welsch,11.2
David Wesley,14.2
Jahidi White,14.2
Rodney White,12.3
Chris Whitney,13.8
Chris Wilcox,15.5
Mike Wilks,10.0
Aaron Williams,13.9
Alvin Williams,13.7
Brandon Williams,1.9
Eric Williams,11.7
Frank Williams,9.2
Jason Williams,14.2
Jay Williams,12.2
Jerome Williams,15.9
Monty Williams,12.8
Scott Williams,13.3
Shammond Williams,13.3
Walt Williams,14.2
Corliss Williamson,14.9
Kevin Willis,15.7
Rubén Wolkowyski,6.0
Loren Woods,11.2
Qyntel Woods,11.1
Metta World Peace,14.8
Lorenzen Wright,13.3
Vincent Yarbrough,9.5
Wang Zhizhi,14.2
Quincy Acy,11.2
Jeff Adrien,15.0
Arron Afflalo,11.9
Josh Akognon,15.3
Cole Aldrich,16.6
LaMarcus Aldridge,20.7
Lavoy Allen,12.5
Ray Allen*,18.6
Tony Allen,14.2
Al-Farouq Aminu,12.2
Lou Amundson,12.0
Chris Andersen,16.7
Alan Anderson,10.3
James Anderson,9.9
Ryan Anderson,16.5
Carmelo Anthony,19.5
Joel Anthony,9.7
Trevor Ariza,13.1
Darrell Arthur,12.2
Ömer Aşık,13.4
D.J. Augustin,14.0
Gustavo Ayón,14.7
Jeff Ayres,12.4
Luke Babbitt,10.1
Leandro Barbosa,15.1
J.J. Barea,14.5
Andrea Bargnani,14.4
Harrison Barnes,13.8
Matt Barnes,12.7
Earl Barron,8.6
